"","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","identifiers","facts","relations","isInCluster","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","rightsHolder","identifier","http...unknown.org.nick","verbatimEventDate","datasetName","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","recordedBy","catalogNumber","http...unknown.org.occurrenceDetails","institutionCode","rights","eventTime","identifiedBy","identificationID","name","coordinateUncertaintyInMeters","lifeStage","occurrenceRemarks","informationWithheld","recordedByIDs.type","recordedByIDs.value","identifiedByIDs.type","identifiedByIDs.value","gadm","individualCount","continent","vernacularName","locality","higherClassification","samplingProtocol","infraspecificEpithet","sex","elevation","elevationAccuracy","organismQuantity","organismQuantityType","http...rs.tdwg.org.dwc.terms.organismQuantity","habitat","institutionID","samplingEffort","county","municipality","eventRemarks","language","type","http...rs.tdwg.org.dwc.terms.organismQuantityType","identificationRemarks","identificationReferences","recordNumber","nomenclaturalCode","georeferencedBy","verbatimCoordinateSystem","locationID","datasetID","waterBody","preparations","verbatimSRS","otherCatalogNumbers","verbatimTaxonRank","sampleSizeUnit","sampleSizeValue","http...rs.tdwg.org.dwc.terms.sampleSizeValue","eventID","http...rs.tdwg.org.dwc.terms.sampleSizeUnit","parentEventID","locationAccordingTo","locationRemarks","previousIdentifications","fieldNotes","projectId","dynamicProperties","fieldNumber","verbatimElevation","higherGeography","endDayOfYear","georeferenceVerificationStatus","startDayOfYear","institutionKey","collectionID","reproductiveCondition","collectionKey","accessRights","georeferencedDate","island","nameAccordingTo","disposition","georeferenceProtocol","georeferenceSources","georeferenceRemarks","dataGeneralizations","taxonRemarks","acceptedNameUsage","ownerInstitutionCode","associatedReferences","X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.","establishmentMeans","behavior","bibliographicCitation","organismID","higherGeographyID","coordinatePrecision","earliestAgeOrLowestStage","namePublishedInYear","taxonConceptID","lithostratigraphicTerms"
"1","1990656519","Cebus capucinus (Linnaeus, 1758)",9.794117,-84.600876,"cdround,gass84,colmano,inmano","6ac3f774-d9fb-4796-b3e9-92bf6c81c084","bb646dff-a905-4403-a49b-6d378c2cf0d9","36cae45c-1983-48be-9cf9-0672c4a60612","DE","BIOCASE","2021-03-03T02:24:10.239+00:00","2021-03-09T21:22:58.348+00:00",138,"bb646dff-a905-4403-a49b-6d378c2cf0d9","HUMAN_OBSERVATION","PRESENT",2436637,1,44,359,798,9621,2436635,2436637,2436637,"Cebus capucinus (Linnaeus, 1758)","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus capucinus","Cebus","capucinus","SPECIES","ACCEPTED","VU",NA,NA,2019,2,2,"2019-02-02T00:00:00",NA,"2021-03-09T21:22:58.348+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CRI","none","none","Costa Rica",NA,NA,NA,NA,NA,NA,"naturgucker","1990656519",NA,NA,"-1857906570","-927901783",NA,"naturgucker",NA,NA,NA,NA,"Cebus capucinus (Linnaeus, 1758)",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carara-Park",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1999442913","Cebus capucinus (Linnaeus, 1758)",8.448688,-83.499367,"cdround,gass84,colmano,inmano","6ac3f774-d9fb-4796-b3e9-92bf6c81c084","bb646dff-a905-4403-a49b-6d378c2cf0d9","36cae45c-1983-48be-9cf9-0672c4a60612","DE","BIOCASE","2021-03-03T02:24:10.239+00:00","2021-03-09T21:22:40.878+00:00",138,"bb646dff-a905-4403-a49b-6d378c2cf0d9","HUMAN_OBSERVATION","PRESENT",2436637,1,44,359,798,9621,2436635,2436637,2436637,"Cebus capucinus (Linnaeus, 1758)","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus capucinus","Cebus","capucinus","SPECIES","ACCEPTED","VU",NA,NA,2019,2,10,"2019-02-10T00:00:00",NA,"2021-03-09T21:22:40.878+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CRI","none","none","Costa Rica",NA,NA,NA,NA,NA,NA,"naturgucker","1999442913",NA,NA,"-1857906570","462456447",NA,"naturgucker",NA,NA,NA,NA,"Cebus capucinus (Linnaeus, 1758)",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corcovado Nationalpark: Carate - La Leona - Sirena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2012713150","Cebus capucinus (Linnaeus, 1758)",9.828155,-83.772118,"cdround,gass84,colmano,inmano","6ac3f774-d9fb-4796-b3e9-92bf6c81c084","bb646dff-a905-4403-a49b-6d378c2cf0d9","36cae45c-1983-48be-9cf9-0672c4a60612","DE","BIOCASE","2021-03-03T02:24:10.239+00:00","2021-03-09T21:23:52.935+00:00",138,"bb646dff-a905-4403-a49b-6d378c2cf0d9","HUMAN_OBSERVATION","PRESENT",2436637,1,44,359,798,9621,2436635,2436637,2436637,"Cebus capucinus (Linnaeus, 1758)","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus capucinus","Cebus","capucinus","SPECIES","ACCEPTED","VU",NA,NA,2019,2,24,"2019-02-24T00:00:00",NA,"2021-03-09T21:23:52.935+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CRI","none","none","Costa Rica",NA,NA,NA,NA,NA,NA,"naturgucker","2012713150",NA,NA,"-1331584611","-1325097784",NA,"naturgucker",NA,NA,NA,NA,"Cebus capucinus (Linnaeus, 1758)",250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anlage Hotel Quelitales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2012713179","Cebus capucinus (Linnaeus, 1758)",8.691845,-83.667412,"cdround,gass84,colmano,inmano","6ac3f774-d9fb-4796-b3e9-92bf6c81c084","bb646dff-a905-4403-a49b-6d378c2cf0d9","36cae45c-1983-48be-9cf9-0672c4a60612","DE","BIOCASE","2021-03-03T02:24:10.239+00:00","2021-03-09T21:23:53.472+00:00",138,"bb646dff-a905-4403-a49b-6d378c2cf0d9","HUMAN_OBSERVATION","PRESENT",2436637,1,44,359,798,9621,2436635,2436637,2436637,"Cebus capucinus (Linnaeus, 1758)","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus capucinus","Cebus","capucinus","SPECIES","ACCEPTED","VU",NA,NA,2019,2,21,"2019-02-21T00:00:00",NA,"2021-03-09T21:23:53.472+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CRI","none","none","Costa Rica",NA,NA,NA,NA,NA,NA,"naturgucker","2012713179",NA,NA,"-1331584611","-1430821793",NA,"naturgucker",NA,NA,NA,NA,"Cebus capucinus (Linnaeus, 1758)",250,NA,NA,NA,NA,NA,NA,NA,"none",NA,NA,NA,"Drake Bay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2012713367","Cebus capucinus (Linnaeus, 1758)",8.691845,-83.667412,"cdround,gass84,colmano,inmano","6ac3f774-d9fb-4796-b3e9-92bf6c81c084","bb646dff-a905-4403-a49b-6d378c2cf0d9","36cae45c-1983-48be-9cf9-0672c4a60612","DE","BIOCASE","2021-03-03T02:24:10.239+00:00","2021-03-09T21:23:12.895+00:00",138,"bb646dff-a905-4403-a49b-6d378c2cf0d9","HUMAN_OBSERVATION","PRESENT",2436637,1,44,359,798,9621,2436635,2436637,2436637,"Cebus capucinus (Linnaeus, 1758)","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus capucinus","Cebus","capucinus","SPECIES","ACCEPTED","VU",NA,NA,2019,2,20,"2019-02-20T00:00:00",NA,"2021-03-09T21:23:12.895+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CRI","none","none","Costa Rica",NA,NA,NA,NA,NA,NA,"naturgucker","2012713367",NA,NA,"-1331584611","-1654829983",NA,"naturgucker",NA,NA,NA,NA,"Cebus capucinus (Linnaeus, 1758)",250,NA,NA,NA,NA,NA,NA,NA,"none",NA,NA,NA,"Drake Bay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2028061595","Cebus capucinus (Linnaeus, 1758)",10.732128,-85.354156,"cdround,gass84,colmano,inmano","6ac3f774-d9fb-4796-b3e9-92bf6c81c084","bb646dff-a905-4403-a49b-6d378c2cf0d9","36cae45c-1983-48be-9cf9-0672c4a60612","DE","BIOCASE","2021-03-03T02:24:10.239+00:00","2021-03-09T21:23:13.816+00:00",138,"bb646dff-a905-4403-a49b-6d378c2cf0d9","HUMAN_OBSERVATION","PRESENT",2436637,1,44,359,798,9621,2436635,2436637,2436637,"Cebus capucinus (Linnaeus, 1758)","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus capucinus","Cebus","capucinus","SPECIES","ACCEPTED","VU",NA,NA,2019,2,15,"2019-02-15T00:00:00",NA,"2021-03-09T21:23:13.816+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CRI","none","none","Costa Rica",NA,NA,NA,NA,NA,NA,"naturgucker","2028061595",NA,NA,"1963945989","-1689315779",NA,"naturgucker",NA,NA,NA,NA,"Cebus capucinus (Linnaeus, 1758)",250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rincon De La Vieja N.P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1836704159","Cebus capucinus (Linnaeus, 1758)",9.735363,-82.836639,"cdround,gass84,colmano,inmano","6ac3f774-d9fb-4796-b3e9-92bf6c81c084","bb646dff-a905-4403-a49b-6d378c2cf0d9","36cae45c-1983-48be-9cf9-0672c4a60612","DE","BIOCASE","2021-03-03T02:24:10.239+00:00","2021-03-09T21:23:13.794+00:00",138,"bb646dff-a905-4403-a49b-6d378c2cf0d9","HUMAN_OBSERVATION","PRESENT",2436637,1,44,359,798,9621,2436635,2436637,2436637,"Cebus capucinus (Linnaeus, 1758)","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus capucinus","Cebus","capucinus","SPECIES","ACCEPTED","VU",NA,NA,2018,2,25,"2018-02-25T00:00:00",NA,"2021-03-09T21:23:13.794+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CRI","none","none","Costa Rica",NA,NA,NA,NA,NA,NA,"naturgucker","1836704159",NA,NA,"-1611384388","96279793",NA,"naturgucker",NA,NA,NA,NA,"Cebus capucinus (Linnaeus, 1758)",25,NA,NA,NA,NA,NA,NA,NA,"none",NA,NA,NA,"UTM50_17P_0250_1050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1914260055","Cebus capucinus (Linnaeus, 1758)",10.547559,-83.505875,"cdround,gass84,colmano,inmano","6ac3f774-d9fb-4796-b3e9-92bf6c81c084","bb646dff-a905-4403-a49b-6d378c2cf0d9","36cae45c-1983-48be-9cf9-0672c4a60612","DE","BIOCASE","2021-03-03T02:24:10.239+00:00","2021-03-09T21:23:43.031+00:00",138,"bb646dff-a905-4403-a49b-6d378c2cf0d9","HUMAN_OBSERVATION","PRESENT",2436637,1,44,359,798,9621,2436635,2436637,2436637,"Cebus capucinus (Linnaeus, 1758)","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus capucinus","Cebus","capucinus","SPECIES","ACCEPTED","VU",NA,NA,2018,3,20,"2018-03-20T00:00:00",NA,"2021-03-09T21:23:43.031+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CRI","none","none","Costa Rica",NA,NA,NA,NA,NA,NA,"naturgucker","1914260055",NA,NA,"-868728425","1267382467",NA,"naturgucker",NA,NA,NA,NA,"Cebus capucinus (Linnaeus, 1758)",250,NA,NA,NA,NA,NA,NA,NA,"none",NA,NA,NA,"Tortuguero Nationalpark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1950893747","Cebus capucinus (Linnaeus, 1758)",9.737482,-82.817688,"cdround,gass84,colmano,inmano","6ac3f774-d9fb-4796-b3e9-92bf6c81c084","bb646dff-a905-4403-a49b-6d378c2cf0d9","36cae45c-1983-48be-9cf9-0672c4a60612","DE","BIOCASE","2021-03-03T02:24:10.239+00:00","2021-03-09T21:23:11.194+00:00",138,"bb646dff-a905-4403-a49b-6d378c2cf0d9","HUMAN_OBSERVATION","PRESENT",2436637,1,44,359,798,9621,2436635,2436637,2436637,"Cebus capucinus (Linnaeus, 1758)","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus capucinus","Cebus","capucinus","SPECIES","ACCEPTED","VU",NA,NA,2018,3,23,"2018-03-23T00:00:00",NA,"2021-03-09T21:23:11.194+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CRI","none","none","Costa Rica",NA,NA,NA,NA,NA,NA,"naturgucker","1950893747",NA,NA,"-868728425","-1659365488",NA,"naturgucker",NA,NA,NA,NA,"Cebus capucinus (Linnaeus, 1758)",250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cahuita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","1579916889","Cebus capucinus (Linnaeus, 1758)",10.732128,-85.354156,"cdround,gass84,colmano,inmano","6ac3f774-d9fb-4796-b3e9-92bf6c81c084","bb646dff-a905-4403-a49b-6d378c2cf0d9","36cae45c-1983-48be-9cf9-0672c4a60612","DE","BIOCASE","2021-03-03T02:24:10.239+00:00","2021-03-09T21:24:32.127+00:00",138,"bb646dff-a905-4403-a49b-6d378c2cf0d9","HUMAN_OBSERVATION","PRESENT",2436637,1,44,359,798,9621,2436635,2436637,2436637,"Cebus capucinus (Linnaeus, 1758)","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus capucinus","Cebus","capucinus","SPECIES","ACCEPTED","VU",NA,NA,2017,2,10,"2017-02-10T00:00:00",NA,"2021-03-09T21:24:32.127+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CRI","none","none","Costa Rica",NA,NA,NA,NA,NA,NA,"naturgucker","1579916889",NA,NA,"546220703","-1657826007",NA,"naturgucker",NA,NA,NA,NA,"Cebus capucinus (Linnaeus, 1758)",250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rincon De La Vieja N.P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","1579920230","Cebus capucinus (Linnaeus, 1758)",10.459622,-84.728203,"cdround,gass84,colmano,inmano","6ac3f774-d9fb-4796-b3e9-92bf6c81c084","bb646dff-a905-4403-a49b-6d378c2cf0d9","36cae45c-1983-48be-9cf9-0672c4a60612","DE","BIOCASE","2021-03-03T02:24:10.239+00:00","2021-03-09T21:23:45.124+00:00",138,"bb646dff-a905-4403-a49b-6d378c2cf0d9","HUMAN_OBSERVATION","PRESENT",2436637,1,44,359,798,9621,2436635,2436637,2436637,"Cebus capucinus (Linnaeus, 1758)","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus capucinus","Cebus","capucinus","SPECIES","ACCEPTED","VU",NA,NA,2017,3,24,"2017-03-24T00:00:00",NA,"2021-03-09T21:23:45.124+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CRI","none","none","Costa Rica",NA,NA,NA,NA,NA,NA,"naturgucker","1579920230",NA,NA,"724321736","2007419709",NA,"naturgucker",NA,NA,NA,NA,"Cebus capucinus (Linnaeus, 1758)",250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"National Park Vulkan Arenal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","1984208412","Cebus capucinus (Linnaeus, 1758)",10.422398,-84.020523,"cdround,gass84,colmano,inmano","6ac3f774-d9fb-4796-b3e9-92bf6c81c084","bb646dff-a905-4403-a49b-6d378c2cf0d9","36cae45c-1983-48be-9cf9-0672c4a60612","DE","BIOCASE","2021-03-03T02:24:10.239+00:00","2021-03-09T21:23:35.401+00:00",138,"bb646dff-a905-4403-a49b-6d378c2cf0d9","HUMAN_OBSERVATION","PRESENT",2436637,1,44,359,798,9621,2436635,2436637,2436637,"Cebus capucinus (Linnaeus, 1758)","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus capucinus","Cebus","capucinus","SPECIES","ACCEPTED","VU",NA,NA,2016,11,10,"2016-11-10T00:00:00",NA,"2021-03-09T21:23:35.401+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CRI","none","none","Costa Rica",NA,NA,NA,NA,NA,NA,"naturgucker","1984208412",NA,NA,"-85323026","-844086302",NA,"naturgucker",NA,NA,NA,NA,"Cebus capucinus (Linnaeus, 1758)",250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"La Selva Biological Station",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1338338012","Cebus capucinus (Linnaeus, 1758)",8.691845,-83.667412,"cdround,gass84,colmano,inmano","6ac3f774-d9fb-4796-b3e9-92bf6c81c084","bb646dff-a905-4403-a49b-6d378c2cf0d9","36cae45c-1983-48be-9cf9-0672c4a60612","DE","BIOCASE","2021-03-03T02:24:10.239+00:00","2021-03-09T21:23:53.464+00:00",138,"bb646dff-a905-4403-a49b-6d378c2cf0d9","HUMAN_OBSERVATION","PRESENT",2436637,1,44,359,798,9621,2436635,2436637,2436637,"Cebus capucinus (Linnaeus, 1758)","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus capucinus","Cebus","capucinus","SPECIES","ACCEPTED","VU",NA,NA,2015,2,5,"2015-02-05T00:00:00",NA,"2021-03-09T21:23:53.464+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CRI","none","none","Costa Rica",NA,NA,NA,NA,NA,NA,"naturgucker","1338338012",NA,NA,"340220811","1569263195",NA,"naturgucker",NA,NA,NA,NA,"Cebus capucinus (Linnaeus, 1758)",250,NA,NA,NA,NA,NA,NA,NA,"none",NA,NA,NA,"Drake Bay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","1338235489","Cebus capucinus (Linnaeus, 1758)",10.584853,-83.527809,"cdround,gass84,colmano,inmano","6ac3f774-d9fb-4796-b3e9-92bf6c81c084","bb646dff-a905-4403-a49b-6d378c2cf0d9","36cae45c-1983-48be-9cf9-0672c4a60612","DE","BIOCASE","2021-03-03T02:24:10.239+00:00","2021-03-09T21:22:38.636+00:00",138,"bb646dff-a905-4403-a49b-6d378c2cf0d9","HUMAN_OBSERVATION","PRESENT",2436637,1,44,359,798,9621,2436635,2436637,2436637,"Cebus capucinus (Linnaeus, 1758)","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus capucinus","Cebus","capucinus","SPECIES","ACCEPTED","VU",NA,NA,2015,10,12,"2015-10-12T00:00:00",NA,"2021-03-09T21:22:38.636+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CRI","none","none","Costa Rica",NA,NA,NA,NA,NA,NA,"naturgucker","1338235489",NA,NA,"539637721","145511629",NA,"naturgucker",NA,NA,NA,NA,"Cebus capucinus (Linnaeus, 1758)",250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cerro Tortuguero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1338338048","Cebus capucinus (Linnaeus, 1758)",10.487833,-84.754135,"cdround,gass84,colmano,inmano","6ac3f774-d9fb-4796-b3e9-92bf6c81c084","bb646dff-a905-4403-a49b-6d378c2cf0d9","36cae45c-1983-48be-9cf9-0672c4a60612","DE","BIOCASE","2021-03-03T02:24:10.239+00:00","2021-03-09T21:23:00.728+00:00",138,"bb646dff-a905-4403-a49b-6d378c2cf0d9","HUMAN_OBSERVATION","PRESENT",2436637,1,44,359,798,9621,2436635,2436637,2436637,"Cebus capucinus (Linnaeus, 1758)","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus capucinus","Cebus","capucinus","SPECIES","ACCEPTED","VU",NA,NA,2015,10,1,"2015-10-01T00:00:00",NA,"2021-03-09T21:23:00.728+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CRI","none","none","Costa Rica",NA,NA,NA,NA,NA,NA,"naturgucker","1338338048",NA,NA,"539637721","1631626471",NA,"naturgucker",NA,NA,NA,NA,"Cebus capucinus (Linnaeus, 1758)",250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arenal Hängebrückenpark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
