"","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","identifiers","facts","relations","isInCluster","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","rightsHolder","identifier","http...unknown.org.nick","verbatimEventDate","datasetName","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","recordedBy","catalogNumber","http...unknown.org.occurrenceDetails","institutionCode","rights","eventTime","identifiedBy","identificationID","name","occurrenceRemarks","individualCount","lifeStage","continent","vernacularName","locality","samplingProtocol","higherClassification","coordinatePrecision","organismQuantity","organismQuantityType","identificationReferences","acceptedNameUsage","http...rs.tdwg.org.dwc.terms.organismQuantity","preparations","http...rs.tdwg.org.dwc.terms.organismQuantityType","verbatimTaxonRank","X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.","establishmentMeans","institutionKey","collectionKey","institutionID","nomenclaturalCode","higherGeography","endDayOfYear","georeferenceVerificationStatus","language","type","startDayOfYear","accessRights","behavior","elevation","elevationAccuracy","eventID","footprintWKT","municipality","county","identificationVerificationStatus","originalNameUsage","datasetID","nameAccordingTo","associatedReferences","sex","recordNumber","habitat","verbatimCoordinateSystem","associatedSequences","locationRemarks","georeferencedDate","georeferencedBy","georeferenceProtocol","collectionID","georeferenceSources","infraspecificEpithet","fieldNumber","organismID","ownerInstitutionCode","georeferenceRemarks","bibliographicCitation","dynamicProperties","locationAccordingTo","identificationRemarks","otherCatalogNumbers","previousIdentifications","identificationQualifier","gadm","projectId","earliestAgeOrLowestStage","namePublishedInYear","taxonConceptID","lithostratigraphicTerms"
"1","1338287359","Cebus olivaceus Schomburgk, 1848",9.24987,-68.14888,"cdround,gass84,colmano,inmano","6ac3f774-d9fb-4796-b3e9-92bf6c81c084","bb646dff-a905-4403-a49b-6d378c2cf0d9","36cae45c-1983-48be-9cf9-0672c4a60612","DE","BIOCASE","2021-03-03T02:24:10.239+00:00","2021-03-09T21:23:11.811+00:00",138,"bb646dff-a905-4403-a49b-6d378c2cf0d9","HUMAN_OBSERVATION","PRESENT",2436638,1,44,359,798,9621,2436635,2436638,2436638,"Cebus olivaceus Schomburgk, 1848","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus olivaceus","Cebus","olivaceus","SPECIES","ACCEPTED","LC",NA,250,NA,2015,2,25,"2015-02-25T00:00:00",NA,"2021-03-09T21:23:11.811+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","VEN","none","none","Venezuela (Bolivarian Republic of)",NA,NA,NA,NA,NA,NA,"naturgucker","1338287359",NA,NA,"881932368","-1710604817",NA,"naturgucker",NA,NA,NA,NA,"Cebus olivaceus Schomburgk, 1848",NA,NA,NA,NA,NA,"Las Cruces und Umgebung, Verbindungsstraﬂe El Pao - La Lagunita, Cojedes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1338487256","Cebus olivaceus Schomburgk, 1848",8.933913,-68.085022,"cdround,gass84,colmano,inmano","6ac3f774-d9fb-4796-b3e9-92bf6c81c084","bb646dff-a905-4403-a49b-6d378c2cf0d9","36cae45c-1983-48be-9cf9-0672c4a60612","DE","BIOCASE","2021-03-03T02:24:10.239+00:00","2021-03-09T21:22:42.891+00:00",138,"bb646dff-a905-4403-a49b-6d378c2cf0d9","HUMAN_OBSERVATION","PRESENT",2436638,1,44,359,798,9621,2436635,2436638,2436638,"Cebus olivaceus Schomburgk, 1848","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus olivaceus","Cebus","olivaceus","SPECIES","ACCEPTED","LC",NA,250,NA,2015,2,25,"2015-02-25T00:00:00",NA,"2021-03-09T21:22:42.891+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","VEN","none","none","Venezuela (Bolivarian Republic of)",NA,NA,NA,NA,NA,NA,"naturgucker","1338487256",NA,NA,"881932368","694254944",NA,"naturgucker",NA,NA,NA,NA,"Cebus olivaceus Schomburgk, 1848",NA,NA,NA,NA,NA,"Hato Pinero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","197038713","Cebus olivaceus Schomburgk, 1848",3.192,-58.812,"gass84,colmafu,inmano","4d749d70-e2e1-11dd-8102-b8a03c50a862","335880a0-e2e1-11dd-8102-b8a03c50a862","605ef338-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-03-03T20:23:59.022+00:00","2021-03-09T14:08:15.535+00:00",68,"335880a0-e2e1-11dd-8102-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",2436638,1,44,359,798,9621,2436635,2436638,2436638,"Cebus olivaceus Schomburgk, 1848","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus olivaceus","Cebus","olivaceus","SPECIES","ACCEPTED","LC",NA,NA,NA,2001,9,25,"2001-09-25T00:00:00",NA,"2021-03-09T14:08:15.535+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","GUY","none","none","Guyana",NA,"197038713",NA,NA,NA,NA,"14","197038713",NA,NA,"Jim Sanderson","10042",NA,"Conservation International",NA,NA,NA,NA,"Cebus olivaceus Schomburgk, 1848",NA,NA,NA,NA,NA,"Cacique Mountain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c41859b5-9974-4bd5-8510-af28fd0ac190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","197038746","Cebus olivaceus Schomburgk, 1848",3.268,-58.779,"gass84,colmafu,inmano","4d749d70-e2e1-11dd-8102-b8a03c50a862","335880a0-e2e1-11dd-8102-b8a03c50a862","605ef338-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-03-03T20:23:59.022+00:00","2021-03-09T14:08:15.590+00:00",68,"335880a0-e2e1-11dd-8102-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",2436638,1,44,359,798,9621,2436635,2436638,2436638,"Cebus olivaceus Schomburgk, 1848","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus olivaceus","Cebus","olivaceus","SPECIES","ACCEPTED","LC",NA,NA,NA,2001,9,20,"2001-09-20T00:00:00",NA,"2021-03-09T14:08:15.590+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","GUY","none","none","Guyana",NA,"197038746",NA,NA,NA,NA,"14","197038746",NA,NA,"Jim Sanderson","9048",NA,"Conservation International",NA,NA,NA,NA,"Cebus olivaceus Schomburgk, 1848",NA,NA,NA,NA,NA,"Pobawau Creek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c41859b5-9974-4bd5-8510-af28fd0ac190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","197038639","Cebus olivaceus Schomburgk, 1848",3.25,-59.25,"gass84,colmafu,inmano","4d749d70-e2e1-11dd-8102-b8a03c50a862","335880a0-e2e1-11dd-8102-b8a03c50a862","605ef338-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-03-03T20:23:59.022+00:00","2021-03-09T14:08:15.811+00:00",68,"335880a0-e2e1-11dd-8102-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",2436638,1,44,359,798,9621,2436635,2436638,2436638,"Cebus olivaceus Schomburgk, 1848","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus olivaceus","Cebus","olivaceus","SPECIES","ACCEPTED","LC",NA,NA,NA,1993,2,1,"1993-02-01T00:00:00",NA,"2021-03-09T14:08:15.811+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","GUY","none","none","Guyana",NA,"197038639",NA,NA,NA,NA,"39","197038639",NA,NA,"Louise H. Emmons","1884",NA,"Conservation International",NA,NA,NA,NA,"Cebus olivaceus Schomburgk, 1848",NA,NA,NA,NA,NA,"Western Kanuku Mountains",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d3618514-5dc5-4395-b595-c7507993ac23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","1318024109","Cebus olivaceus Schomburgk, 1848",4.42,-61.58,"gass84,osiic,colmafu","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2021-09-05T14:54:29.296+00:00","2021-09-08T13:29:55.077+00:00",215,"bc092ff0-02e4-11dc-991f-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",2436638,1,44,359,798,9621,2436635,2436638,2436638,"Cebus olivaceus Schomburgk, 1848","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus olivaceus","Cebus","olivaceus","SPECIES","ACCEPTED","LC",NA,NA,"Bolivar",1968,5,12,"1968-05-12T00:00:00",NA,"2021-09-08T13:29:55.077+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","VEN","none","none","Venezuela (Bolivarian Republic of)",NA,"http://n2t.net/ark:/65665/324549eca-b3e7-4d57-a301-ce231584b80f",NA,"12 May 1968","NMNH Extant Biology",NA,"Mammals","1318024109","http://n2t.net/ark:/65665/324549eca-b3e7-4d57-a301-ce231584b80f",NA,"Smithsonian Venezuelan Project","443212",NA,"USNM",NA,NA,NA,NA,"Cebus olivaceus Schomburgk, 1848",NA,1,"Adult","SOUTH_AMERICA",NA,"Icabaru, 19 Km NE Icabaru",NA,"Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Primates, Haplorrhini, Cebidae, Cebinae",NA,NA,NA,NA,NA,NA,"Skin; Skull",NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",NA,"586ee56e-b0fe-4dff-b7f9-aeb104f3308a","c0e59491-e319-4822-90bf-3e3c6fbd4a13","http://biocol.org/urn:lsid:biocol.org:col:34871",NA,"South America, Venezuela, Bolivar","133",NA,NA,"PhysicalObject","133",NA,NA,658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MALE","43504","Premontane humid forest","Degrees Minutes Seconds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","1318746545","Cebus olivaceus Schomburgk, 1848",4.55,-61.42,"gass84,osiic,colmafu","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2021-09-05T14:54:29.296+00:00","2021-09-08T13:28:36.477+00:00",215,"bc092ff0-02e4-11dc-991f-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",2436638,1,44,359,798,9621,2436635,2436638,2436638,"Cebus olivaceus Schomburgk, 1848","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus olivaceus","Cebus","olivaceus","SPECIES","ACCEPTED","LC",NA,NA,"Bolivar",1968,5,13,"1968-05-13T00:00:00",NA,"2021-09-08T13:28:36.477+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","VEN","none","none","Venezuela (Bolivarian Republic of)",NA,"http://n2t.net/ark:/65665/34445928a-b5a5-48e7-8d3e-b73892836ce7",NA,"13 May 1968","NMNH Extant Biology",NA,"Mammals","1318746545","http://n2t.net/ark:/65665/34445928a-b5a5-48e7-8d3e-b73892836ce7",NA,"Smithsonian Venezuelan Project","443210",NA,"USNM",NA,NA,NA,NA,"Cebus olivaceus Schomburgk, 1848",NA,1,"Adult","SOUTH_AMERICA",NA,"Icabaru, 46 Km NE Icabaru",NA,"Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Primates, Haplorrhini, Cebidae, Cebinae",NA,NA,NA,NA,NA,NA,"Skin; Skull",NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",NA,"586ee56e-b0fe-4dff-b7f9-aeb104f3308a","c0e59491-e319-4822-90bf-3e3c6fbd4a13","http://biocol.org/urn:lsid:biocol.org:col:34871",NA,"South America, Venezuela, Bolivar","134",NA,NA,"PhysicalObject","134",NA,NA,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FEMALE","43390","Premontane very humid forest","Degrees Minutes Seconds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","1319950144","Cebus olivaceus Schomburgk, 1848",4.42,-61.58,"gass84,osiic,colmafu","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2021-09-05T14:54:29.296+00:00","2021-09-08T13:30:01.281+00:00",215,"bc092ff0-02e4-11dc-991f-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",2436638,1,44,359,798,9621,2436635,2436638,2436638,"Cebus olivaceus Schomburgk, 1848","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus olivaceus","Cebus","olivaceus","SPECIES","ACCEPTED","LC",NA,NA,"Bolivar",1968,5,12,"1968-05-12T00:00:00",NA,"2021-09-08T13:30:01.281+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","VEN","none","none","Venezuela (Bolivarian Republic of)",NA,"http://n2t.net/ark:/65665/3798e98e4-30c2-45a2-a5e1-29abff828d4b",NA,"12 May 1968","NMNH Extant Biology",NA,"Mammals","1319950144","http://n2t.net/ark:/65665/3798e98e4-30c2-45a2-a5e1-29abff828d4b",NA,"Smithsonian Venezuelan Project","443211",NA,"USNM",NA,NA,NA,NA,"Cebus olivaceus Schomburgk, 1848",NA,1,"Subadult","SOUTH_AMERICA",NA,"Icabaru, 19 Km NE Icabaru",NA,"Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Primates, Haplorrhini, Cebidae, Cebinae",NA,NA,NA,NA,NA,NA,"Skin; Skull",NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",NA,"586ee56e-b0fe-4dff-b7f9-aeb104f3308a","c0e59491-e319-4822-90bf-3e3c6fbd4a13","http://biocol.org/urn:lsid:biocol.org:col:34871",NA,"South America, Venezuela, Bolivar","133",NA,NA,"PhysicalObject","133",NA,NA,658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MALE","43503","Premontane humid forest","Degrees Minutes Seconds","https://www.ncbi.nlm.nih.gov/gquery?term=JQ317633|https://www.ncbi.nlm.nih.gov/gquery?term=JN409315",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","1319370653","Cebus olivaceus Schomburgk, 1848",9.32,-62.93,"gass84,osiic,colmafu","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2021-09-05T14:54:29.296+00:00","2021-09-08T13:29:17.948+00:00",215,"bc092ff0-02e4-11dc-991f-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",2436638,1,44,359,798,9621,2436635,2436638,2436638,"Cebus olivaceus Schomburgk, 1848","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus olivaceus","Cebus","olivaceus","SPECIES","ACCEPTED","LC",NA,NA,"Monagas",1968,6,6,"1968-06-06T00:00:00",NA,"2021-09-08T13:29:17.948+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","VEN","none","none","Venezuela (Bolivarian Republic of)",NA,"http://n2t.net/ark:/65665/35fea0efc-75db-401d-9e3c-7ff0e05a68dd",NA,"6 Jun 1968","NMNH Extant Biology",NA,"Mammals","1319370653","http://n2t.net/ark:/65665/35fea0efc-75db-401d-9e3c-7ff0e05a68dd",NA,"Smithsonian Venezuelan Project","443216",NA,"USNM",NA,NA,NA,NA,"Cebus olivaceus Schomburgk, 1848",NA,1,"Subadult","SOUTH_AMERICA",NA,"Hato Mata De Bejuco, 55 Km SSE Maturin",NA,"Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Primates, Haplorrhini, Cebidae, Cebinae",NA,NA,NA,NA,NA,NA,"Skin; Skull",NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",NA,"586ee56e-b0fe-4dff-b7f9-aeb104f3308a","c0e59491-e319-4822-90bf-3e3c6fbd4a13","http://biocol.org/urn:lsid:biocol.org:col:34871",NA,"South America, Venezuela, Monagas","158",NA,NA,"PhysicalObject","158",NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MALE","43701","Tropical dry forest","Degrees Minutes Seconds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","1319472086","Cebus olivaceus Schomburgk, 1848",9.32,-62.93,"gass84,osiic,colmafu","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2021-09-05T14:54:29.296+00:00","2021-09-08T13:29:59.392+00:00",215,"bc092ff0-02e4-11dc-991f-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",2436638,1,44,359,798,9621,2436635,2436638,2436638,"Cebus olivaceus Schomburgk, 1848","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus olivaceus","Cebus","olivaceus","SPECIES","ACCEPTED","LC",NA,NA,"Monagas",1968,6,6,"1968-06-06T00:00:00",NA,"2021-09-08T13:29:59.392+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","VEN","none","none","Venezuela (Bolivarian Republic of)",NA,"http://n2t.net/ark:/65665/3646744ad-3475-4425-8044-68d610df934a",NA,"6 Jun 1968","NMNH Extant Biology",NA,"Mammals","1319472086","http://n2t.net/ark:/65665/3646744ad-3475-4425-8044-68d610df934a",NA,"Smithsonian Venezuelan Project","443214",NA,"USNM",NA,NA,NA,NA,"Cebus olivaceus Schomburgk, 1848",NA,1,"Adult","SOUTH_AMERICA",NA,"Hato Mata De Bejuco, 55 Km SSE Maturin",NA,"Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Primates, Haplorrhini, Cebidae, Cebinae",NA,NA,NA,NA,NA,NA,"Skin; Skull",NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",NA,"586ee56e-b0fe-4dff-b7f9-aeb104f3308a","c0e59491-e319-4822-90bf-3e3c6fbd4a13","http://biocol.org/urn:lsid:biocol.org:col:34871",NA,"South America, Venezuela, Monagas","158",NA,NA,"PhysicalObject","158",NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MALE","43673","Tropical dry forest","Degrees Minutes Seconds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","1322178688","Cebus olivaceus Schomburgk, 1848",9.32,-62.93,"gass84,osiic,colmafu","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2021-09-05T14:54:29.296+00:00","2021-09-08T13:29:22.221+00:00",215,"bc092ff0-02e4-11dc-991f-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",2436638,1,44,359,798,9621,2436635,2436638,2436638,"Cebus olivaceus Schomburgk, 1848","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus olivaceus","Cebus","olivaceus","SPECIES","ACCEPTED","LC",NA,NA,"Monagas",1968,6,6,"1968-06-06T00:00:00",NA,"2021-09-08T13:29:22.221+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","VEN","none","none","Venezuela (Bolivarian Republic of)",NA,"http://n2t.net/ark:/65665/3dc22cf3a-524d-4fab-ba91-ad53b0e0effa",NA,"6 Jun 1968","NMNH Extant Biology",NA,"Mammals","1322178688","http://n2t.net/ark:/65665/3dc22cf3a-524d-4fab-ba91-ad53b0e0effa",NA,"Smithsonian Venezuelan Project","443215",NA,"USNM",NA,NA,NA,NA,"Cebus olivaceus Schomburgk, 1848",NA,1,"Adult","SOUTH_AMERICA",NA,"Hato Mata De Bejuco, 55 Km SSE Maturin",NA,"Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Primates, Haplorrhini, Cebidae, Cebinae",NA,NA,NA,NA,NA,NA,"Skin; Skull",NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",NA,"586ee56e-b0fe-4dff-b7f9-aeb104f3308a","c0e59491-e319-4822-90bf-3e3c6fbd4a13","http://biocol.org/urn:lsid:biocol.org:col:34871",NA,"South America, Venezuela, Monagas","158",NA,NA,"PhysicalObject","158",NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MALE","43674","Tropical dry forest","Degrees Minutes Seconds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","1317256177","Cebus olivaceus Schomburgk, 1848",10.9,-68.77,"gass84,osiic,colmafu","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2021-09-05T14:54:29.296+00:00","2021-09-08T13:29:07.662+00:00",215,"bc092ff0-02e4-11dc-991f-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",2436638,1,44,359,798,9621,2436635,2436638,2436638,"Cebus olivaceus Schomburgk, 1848","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus olivaceus","Cebus","olivaceus","SPECIES","ACCEPTED","LC",NA,NA,"Falcon",1968,9,6,"1968-09-06T00:00:00",NA,"2021-09-08T13:29:07.662+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","VEN","none","none","Venezuela (Bolivarian Republic of)",NA,"http://n2t.net/ark:/65665/3026080db-6080-4312-9c7b-62e4ddd072b4",NA,"6 Sep 1968","NMNH Extant Biology",NA,"Mammals","1317256177","http://n2t.net/ark:/65665/3026080db-6080-4312-9c7b-62e4ddd072b4",NA,"Smithsonian Venezuelan Project","443220",NA,"USNM",NA,NA,NA,NA,"Cebus olivaceus Schomburgk, 1848",NA,1,"Subadult","SOUTH_AMERICA",NA,"Riecito, 30 Km S Mirimiri",NA,"Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Primates, Haplorrhini, Cebidae, Cebinae",NA,NA,NA,NA,NA,NA,"Skin; Skull",NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",NA,"586ee56e-b0fe-4dff-b7f9-aeb104f3308a","c0e59491-e319-4822-90bf-3e3c6fbd4a13","http://biocol.org/urn:lsid:biocol.org:col:34871",NA,"South America, Venezuela, Falcon","250",NA,NA,"PhysicalObject","250",NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FEMALE","24824","Tropical humid forest","Degrees Minutes Seconds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
