"species_search","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","identifiers","facts","relations","isInCluster","geodeticDatum","class","countryCode","recordedByIDs.type","recordedByIDs.value","identifiedByIDs.type","identifiedByIDs.value","country","rightsHolder","identifier","http...unknown.org.nick","verbatimEventDate","datasetName","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","recordedBy","catalogNumber","http...unknown.org.occurrenceDetails","institutionCode","rights","eventTime","identifiedBy","identificationID","name","individualCount","lifeStage","continent","recordedByIDs","identifiedByIDs","vernacularName","locality","higherClassification","occurrenceRemarks","elevation","elevationAccuracy","institutionKey","institutionID","municipality","county","language","type","collectionID","identificationRemarks","X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.","establishmentMeans","recordNumber","nomenclaturalCode","higherGeography","endDayOfYear","startDayOfYear","accessRights","verbatimElevation","sex","dynamicProperties","identificationVerificationStatus","eventRemarks","locationAccordingTo","preparations","georeferencedDate","georeferencedBy","georeferenceProtocol","georeferenceVerificationStatus","verbatimCoordinateSystem","otherCatalogNumbers","organismID","previousIdentifications","identificationQualifier","georeferenceSources","collectionKey","fieldNumber","locationRemarks","ownerInstitutionCode","datasetID","download"
"Aotus nigriceps","3302423286","Aotus nigriceps Dollman, 1909",-7.722265,-72.543708,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:20:48.461+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219595,1,44,359,798,3239574,2436667,5219595,5219595,"Aotus nigriceps Dollman, 1909","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nigriceps","Aotus","nigriceps","SPECIES","ACCEPTED","LC","2021-06-01T12:41:43",122,"Acre",2021,5,15,"2021-05-15T19:43:00","2021-06-01T13:54:29.000+00:00","2021-09-08T00:20:48.461+00:00","https://www.inaturalist.org/observations/81165699","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BR","ORCID","https://orcid.org/0000-0001-5990-9401","ORCID","https://orcid.org/0000-0001-5990-9401","Brazil","Marllus Rafael Almeida","81165699","marllus_rafael","2021/05/15 7:43 PM -0300","iNaturalist research-grade observations","Cruzeiro do Sul - AC, Brasil","Observations","3302423286","https://www.inaturalist.org/observations/81165699","43414","Marllus Rafael Almeida","81165699","https://www.inaturalist.org/observations/81165699","iNaturalist","© Marllus Rafael Almeida some rights reserved","22:43:00Z","Marllus Rafael Almeida","179552852","Aotus nigriceps Dollman, 1909",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nigriceps","3333306890","Aotus nigriceps Dollman, 1909",-7.624813,-72.786123,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:03:00.982+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219595,1,44,359,798,3239574,2436667,5219595,5219595,"Aotus nigriceps Dollman, 1909","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nigriceps","Aotus","nigriceps","SPECIES","ACCEPTED","LC","2021-07-24T20:50:58",61,"Acre",2021,7,6,"2021-07-06T19:40:00","2021-08-03T07:03:50.000+00:00","2021-09-08T00:03:00.982+00:00","https://www.inaturalist.org/observations/88446438","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BR","ORCID","https://orcid.org/0000-0001-5990-9401","ORCID","https://orcid.org/0000-0001-5990-9401","Brazil","Marllus Rafael Almeida","88446438","marllus_rafael","2021/07/06 7:40 PM -0300","iNaturalist research-grade observations","Cruzeiro do Sul - AC, Brasil","Observations","3333306890","https://www.inaturalist.org/observations/88446438","43414","Marllus Rafael Almeida","88446438","https://www.inaturalist.org/observations/88446438","iNaturalist","© Marllus Rafael Almeida some rights reserved","22:40:00Z","Marllus Rafael Almeida","193804394","Aotus nigriceps Dollman, 1909",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nigriceps","2842792862","Aotus nigriceps Dollman, 1909",-12.341176,-70.980606,"cdround,osiic","8a863029-f435-446a-821e-275f4f641165","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","85ccfd1a-a837-48d6-9a87-96c99f6fe012","NL","DWC_ARCHIVE","2020-08-19T12:31:07.894+00:00","2021-08-30T10:28:00.268+00:00",80,"396d5f30-dea9-11db-8ab4-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",5219595,1,44,359,798,3239574,2436667,5219595,5219595,"Aotus nigriceps Dollman, 1909","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nigriceps","Aotus","nigriceps","SPECIES","ACCEPTED","LC",NA,100,NA,2020,3,5,"2020-03-05T00:00:00","2020-03-09T00:00:00.000+00:00","2021-08-30T10:28:00.268+00:00","https://data.biodiversitydata.nl/obsint/observation/OBS.186320314","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE",NA,NA,NA,NA,"Peru","Stichting Natuurinformatie","186320314@OBS",NA,NA,NA,NA,"Observations","2842792862","https://observation.org/observation/186320314",NA,NA,"OBS.186320314",NA,NA,NA,NA,NA,NA,"Aotus nigriceps Dollman, 1909",1,"Unknown","SOUTH_AMERICA","none","none","Black-headed Night Monkey","Peru - Madre de Dios","Animalia|NIGHT_MONKEYS_AOTIDAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nigriceps","3067913000","Aotus nigriceps Dollman, 1909",-12.789778,-71.391913,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:32:12.687+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219595,1,44,359,798,3239574,2436667,5219595,5219595,"Aotus nigriceps Dollman, 1909","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nigriceps","Aotus","nigriceps","SPECIES","ACCEPTED","LC","2020-06-03T17:10:07",5,"Madre de Dios",2020,3,24,"2020-03-24T23:39:54","2021-04-16T14:24:42.000+00:00","2021-09-07T23:32:12.687+00:00","https://www.inaturalist.org/observations/48352165","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE",NA,NA,NA,NA,"Peru","Jared Shorma","48352165","blazeclaw","Tue Mar 24 2020 23:39:54 GMT-0600 (MDT)","iNaturalist research-grade observations","T2, Madre de Dios, PE","Observations","3067913000","https://www.inaturalist.org/observations/48352165","43414","Jared Shorma","48352165","https://www.inaturalist.org/observations/48352165","iNaturalist","© Jared Shorma some rights reserved","05:39:54Z","Jared Shorma","107726904","Aotus nigriceps Dollman, 1909",NA,NA,NA,"none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nigriceps","2611194987","Aotus nigriceps Dollman, 1909",-9.974926,-67.824898,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:55:32.404+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219595,1,44,359,798,3239574,2436667,5219595,5219595,"Aotus nigriceps Dollman, 1909","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nigriceps","Aotus","nigriceps","SPECIES","ACCEPTED","LC","2020-04-26T02:30:27",16829,"Acre",2020,4,25,"2020-04-25T00:00:00","2020-04-27T16:44:45.000+00:00","2021-09-07T23:55:32.404+00:00","https://www.inaturalist.org/observations/43475123","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BR",NA,NA,NA,NA,"Brazil","neuzatb236","43475123","neuzatb236","2020-04-25","iNaturalist research-grade observations","Rio Branco","Observations","2611194987","https://www.inaturalist.org/observations/43475123","43414","neuzatb236","43475123","https://www.inaturalist.org/observations/43475123","iNaturalist","© neuzatb236 some rights reserved",NA,"Marcos Silveira","98035506","Aotus nigriceps Dollman, 1909",NA,"Adult",NA,"none","none",NA,NA,NA,"Macaco da noite direto do meu quintal agroecológico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nigriceps","2984399820","Aotus nigriceps Dollman, 1909",-7.725058,-72.540395,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:20:19.799+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219595,1,44,359,798,3239574,2436667,5219595,5219595,"Aotus nigriceps Dollman, 1909","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nigriceps","Aotus","nigriceps","SPECIES","ACCEPTED","LC","2020-11-09T22:57:48",31,"Acre",2020,11,8,"2020-11-08T19:39:00","2020-11-10T08:27:26.000+00:00","2021-09-08T00:20:19.799+00:00","https://www.inaturalist.org/observations/64555504","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BR","ORCID","https://orcid.org/0000-0001-5990-9401","ORCID","https://orcid.org/0000-0001-5990-9401","Brazil","Marllus Rafael Almeida","64555504","marllus_rafael","2020/11/08 7:39 PM -0200","iNaturalist research-grade observations","Cruzeiro do Sul - AC, Brasil","Observations","2984399820","https://www.inaturalist.org/observations/64555504","43414","Marllus Rafael Almeida","64555504","https://www.inaturalist.org/observations/64555504","iNaturalist","© Marllus Rafael Almeida some rights reserved","21:39:00Z","Marllus Rafael Almeida","140929557","Aotus nigriceps Dollman, 1909",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nigriceps","3302216349","Aotus nigriceps Dollman, 1909",-7.570914,-72.966735,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:20:53.405+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219595,1,44,359,798,3239574,2436667,5219595,5219595,"Aotus nigriceps Dollman, 1909","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nigriceps","Aotus","nigriceps","SPECIES","ACCEPTED","LC","2021-06-01T12:44:01",122,"Acre",2019,6,12,"2019-06-12T04:05:00","2021-06-01T13:54:34.000+00:00","2021-09-08T00:20:53.405+00:00","https://www.inaturalist.org/observations/81165869","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BR","ORCID","https://orcid.org/0000-0001-5990-9401","ORCID","https://orcid.org/0000-0001-5990-9401","Brazil","Marllus Rafael Almeida","81165869","marllus_rafael","2019/06/12 4:05 AM -0300","iNaturalist research-grade observations","Mâncio Lima - AC, Brasil","Observations","3302216349","https://www.inaturalist.org/observations/81165869","43414","Marllus Rafael Almeida","81165869","https://www.inaturalist.org/observations/81165869","iNaturalist","© Marllus Rafael Almeida some rights reserved","07:05:00Z","Marllus Rafael Almeida","179553229","Aotus nigriceps Dollman, 1909",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nigriceps","2283274105","Aotus nigriceps Dollman, 1909",-12.569686,-70.100211,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:05:07.449+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219595,1,44,359,798,3239574,2436667,5219595,5219595,"Aotus nigriceps Dollman, 1909","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nigriceps","Aotus","nigriceps","SPECIES","ACCEPTED","LC","2019-07-11T15:37:10",NA,"Madre de Dios",2019,7,8,"2019-07-08T20:05:00","2019-07-16T18:40:54.000+00:00","2021-09-08T00:05:07.449+00:00","https://www.inaturalist.org/observations/28617063","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE",NA,NA,NA,NA,"Peru","pfaucher","28617063","pfaucher","2019/07/08 8:05 PM EDT","iNaturalist research-grade observations","Manú Province, Peru","Observations","2283274105","https://www.inaturalist.org/observations/28617063","43414","pfaucher","28617063","https://www.inaturalist.org/observations/28617063","iNaturalist","© pfaucher some rights reserved","00:05:00Z","pfaucher","62233244","Aotus nigriceps Dollman, 1909",NA,NA,NA,"none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nigriceps","2294535561","Aotus nigriceps Dollman, 1909",-12.338839,-70.721839,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:05:41.799+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219595,1,44,359,798,3239574,2436667,5219595,5219595,"Aotus nigriceps Dollman, 1909","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nigriceps","Aotus","nigriceps","SPECIES","ACCEPTED","LC","2019-07-16T22:46:45",NA,"Madre de Dios",2019,7,15,"2019-07-15T20:01:00","2019-07-16T22:57:53.000+00:00","2021-09-08T00:05:41.799+00:00","https://www.inaturalist.org/observations/28965943","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE",NA,NA,NA,NA,"Peru","pfaucher","28965943","pfaucher","2019/07/15 8:01 PM EDT","iNaturalist research-grade observations","Manú Province, Peru","Observations","2294535561","https://www.inaturalist.org/observations/28965943","43414","pfaucher","28965943","https://www.inaturalist.org/observations/28965943","iNaturalist","© pfaucher some rights reserved","00:01:00Z","pfaucher","62938770","Aotus nigriceps Dollman, 1909",NA,NA,NA,"none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nigriceps","2422884041","Aotus nigriceps Dollman, 1909",-12.808742,-69.302155,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:30:54.150+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219595,1,44,359,798,3239574,2436667,5219595,5219595,"Aotus nigriceps Dollman, 1909","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nigriceps","Aotus","nigriceps","SPECIES","ACCEPTED","LC","2019-08-26T06:11:54",10,"Madre de Dios",2019,8,7,"2019-08-07T12:46:46","2019-09-20T13:30:45.000+00:00","2021-09-07T23:30:54.150+00:00","https://www.inaturalist.org/observations/31523537","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE",NA,NA,"ORCID","https://orcid.org/0000-0002-4497-9244","Peru","Alison Pearce","31523537","abpearce","Wed Aug 07 2019 12:46:46 GMT-0400 (EDT)","iNaturalist research-grade observations","Madre de Dios, PE","Observations","2422884041","https://www.inaturalist.org/observations/31523537","43414","Alison Pearce","31523537","https://www.inaturalist.org/observations/31523537","iNaturalist","© Alison Pearce some rights reserved","16:46:46Z","Diego Balbuena","68346685","Aotus nigriceps Dollman, 1909",NA,NA,NA,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nigriceps","2529366400","Aotus nigriceps Dollman, 1909",-12.895622,-71.4057,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:01:35.024+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219595,1,44,359,798,3239574,2436667,5219595,5219595,"Aotus nigriceps Dollman, 1909","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nigriceps","Aotus","nigriceps","SPECIES","ACCEPTED","LC","2019-12-17T15:48:15",100,"Cusco",2019,8,14,"2019-08-14T15:27:00","2020-03-04T14:52:25.000+00:00","2021-09-08T00:01:35.024+00:00","https://www.inaturalist.org/observations/36729510","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE",NA,NA,NA,NA,"Peru","Mark Nofsinger","36729510","driftlessroots","2019/08/14 3:27 PM CDT","iNaturalist research-grade observations","Paucartambo Province, Peru","Observations","2529366400","https://www.inaturalist.org/observations/36729510","43414","Mark Nofsinger","36729510","https://www.inaturalist.org/observations/36729510","iNaturalist","© Mark Nofsinger some rights reserved","20:27:00Z","Jane Widness","80851939","Aotus nigriceps Dollman, 1909",NA,NA,NA,"none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nigriceps","2422935433","Aotus nigriceps Dollman, 1909",-12.568598,-70.099293,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:43:02.086+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219595,1,44,359,798,3239574,2436667,5219595,5219595,"Aotus nigriceps Dollman, 1909","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nigriceps","Aotus","nigriceps","SPECIES","ACCEPTED","LC","2019-09-06T14:59:29",NA,"Madre de Dios",2019,9,5,"2019-09-05T22:29:11","2019-09-06T17:55:45.000+00:00","2021-09-07T23:43:02.086+00:00","https://www.inaturalist.org/observations/32216679","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE",NA,NA,NA,NA,"Peru","Reid Rumelt","32216679","rumeltr","Thu Sep 05 2019 22:29:11 GMT-0500 (GMT-5)","iNaturalist research-grade observations","Madre de Dios, , Madre de Dios, PE","Observations","2422935433","https://www.inaturalist.org/observations/32216679","43414","Reid Rumelt","32216679","https://www.inaturalist.org/observations/32216679","iNaturalist","© Reid Rumelt some rights reserved","02:29:11Z","Reid Rumelt","69832209","Aotus nigriceps Dollman, 1909",NA,NA,NA,"none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nigriceps","3301866062","Aotus nigriceps Dollman, 1909",-7.450495,-73.66711,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:04:14.219+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219595,1,44,359,798,3239574,2436667,5219595,5219595,"Aotus nigriceps Dollman, 1909","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nigriceps","Aotus","nigriceps","SPECIES","ACCEPTED","LC","2021-06-01T12:44:49",61,"Acre",2019,9,12,"2019-09-12T19:48:00","2021-06-01T13:54:38.000+00:00","2021-09-08T00:04:14.219+00:00","https://www.inaturalist.org/observations/81165934","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BR","ORCID","https://orcid.org/0000-0001-5990-9401","ORCID","https://orcid.org/0000-0001-5990-9401","Brazil","Marllus Rafael Almeida","81165934","marllus_rafael","2019/09/12 7:48 PM -0300","iNaturalist research-grade observations","Mâncio Lima - AC, Brasil","Observations","3301866062","https://www.inaturalist.org/observations/81165934","43414","Marllus Rafael Almeida","81165934","https://www.inaturalist.org/observations/81165934","iNaturalist","© Marllus Rafael Almeida some rights reserved","22:48:00Z","Marllus Rafael Almeida","179553355","Aotus nigriceps Dollman, 1909",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nigriceps","2518134006","Aotus nigriceps Dollman, 1909",-12.894981,-71.403713,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:49:30.102+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219595,1,44,359,798,3239574,2436667,5219595,5219595,"Aotus nigriceps Dollman, 1909","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nigriceps","Aotus","nigriceps","SPECIES","ACCEPTED","LC","2019-12-07T21:02:38",209,"Cusco",2019,11,29,"2019-11-29T13:38:00","2020-03-04T14:52:31.000+00:00","2021-09-07T23:49:30.102+00:00","https://www.inaturalist.org/observations/36445477","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE",NA,NA,NA,NA,"Peru","Jesse Fagan","36445477","eumomota76","2019/11/29 1:38 PM CST","iNaturalist research-grade observations","08145, Peru","Observations","2518134006","https://www.inaturalist.org/observations/36445477","43414","Jesse Fagan","36445477","https://www.inaturalist.org/observations/36445477","iNaturalist","© Jesse Fagan some rights reserved","19:38:00Z","Jesse Fagan","79963130","Aotus nigriceps Dollman, 1909",NA,NA,NA,"none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nigriceps","3067952604","Aotus nigriceps Dollman, 1909",-12.560176,-70.102294,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:48:24.638+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219595,1,44,359,798,3239574,2436667,5219595,5219595,"Aotus nigriceps Dollman, 1909","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nigriceps","Aotus","nigriceps","SPECIES","ACCEPTED","LC","2019-07-14T22:35:27",443,"Madre de Dios",2018,6,17,"2018-06-17T13:48:51","2020-03-04T14:53:24.000+00:00","2021-09-07T23:48:24.638+00:00","https://www.inaturalist.org/observations/27407323","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE",NA,NA,NA,NA,"Peru","Will Sweet","27407323","wsweet321","Sun Jun 17 2018 13:48:51 GMT-0400 (EDT)","iNaturalist research-grade observations","Madre de Dios, , Madre de Dios, PE","Observations","3067952604","https://www.inaturalist.org/observations/27407323","43414","Will Sweet","27407323","https://www.inaturalist.org/observations/27407323","iNaturalist","© Will Sweet some rights reserved","17:48:51Z","Will Sweet","62657268","Aotus nigriceps Dollman, 1909",NA,NA,NA,"none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
