"species_search","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","identifiers","facts","relations","isInCluster","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","rightsHolder","identifier","http...unknown.org.nick","informationWithheld","verbatimEventDate","datasetName","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","recordedBy","catalogNumber","http...unknown.org.occurrenceDetails","institutionCode","rights","eventTime","identifiedBy","identificationID","name","identifiedByIDs.type","identifiedByIDs.value","occurrenceRemarks","identificationRemarks","elevation","elevationAccuracy","continent","institutionKey","institutionID","municipality","county","locality","language","type","collectionID","X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.","sex","collectionKey","fieldNumber","preparations","locationRemarks","recordNumber","higherGeography","georeferenceProtocol","organismID","ownerInstitutionCode","startDayOfYear","datasetID","accessRights","higherClassification","typeStatus","organismQuantity","organismQuantityType","http...rs.tdwg.org.dwc.terms.organismQuantity","verbatimSRS","verbatimCoordinateSystem","eventRemarks","http...rs.tdwg.org.dwc.terms.organismQuantityType","download"
"Aotus nancymaae","2244299644","Aotus nancymaae Hershkovitz, 1983",-7.46795,-73.49871,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:46:30.277+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219589,1,44,359,798,3239574,2436667,5219589,5219589,"Aotus nancymaae Hershkovitz, 1983","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nancymaae","Aotus","nancymaae","SPECIES","ACCEPTED","VU","2019-05-21T19:49:08",31317,"Acre",2019,5,14,"2019-05-14T08:55:00","2019-09-09T12:49:58.000+00:00","2021-09-07T23:46:30.277+00:00","https://www.inaturalist.org/observations/25514107","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BR","none","none","Brazil","crax","25514107","crax","Coordinate uncertainty increased to 31317m to protect threatened taxon","2019/05/14 8:55 AM HST","iNaturalist research-grade observations","Mâncio Lima, BR-AC, BR","Observations","2244299644","https://www.inaturalist.org/observations/25514107","43419","crax","25514107","https://www.inaturalist.org/observations/25514107","iNaturalist","© crax some rights reserved","18:55:00Z","Jane Widness","55896230","Aotus nancymaae Hershkovitz, 1983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nancymaae","2609270587","Aotus nancymaae Hershkovitz, 1983",-3.793254,-73.219788,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:49:12.019+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219589,1,44,359,798,3239574,2436667,5219589,5219589,"Aotus nancymaae Hershkovitz, 1983","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nancymaae","Aotus","nancymaae","SPECIES","ACCEPTED","VU","2020-04-22T06:20:22",31418,"Loreto",2019,5,7,"2019-05-07T15:15:13","2020-04-22T06:44:14.000+00:00","2021-09-07T23:49:12.019+00:00","https://www.inaturalist.org/observations/42824319","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE","none",NA,"Peru","Nicki","42824319","nbrockamp","Coordinate uncertainty increased to 31418m to protect threatened taxon","Tue May 07 2019 15:15:13 GMT-0700 (PDT)","iNaturalist research-grade observations","Maynas, PE-LO, PE","Observations","2609270587","https://www.inaturalist.org/observations/42824319","43419","Nicki","42824319","https://www.inaturalist.org/observations/42824319","iNaturalist","© Nicki some rights reserved","22:15:13Z","Diego Balbuena","96865083","Aotus nancymaae Hershkovitz, 1983","ORCID","https://orcid.org/0000-0002-4497-9244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nancymaae","2283138840","Aotus nancymaae Hershkovitz, 1983",-4.950256,-73.637028,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:48:58.900+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219589,1,44,359,798,3239574,2436667,5219589,5219589,"Aotus nancymaae Hershkovitz, 1983","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nancymaae","Aotus","nancymaae","SPECIES","ACCEPTED","VU","2019-07-03T18:49:22",31394,"Loreto",2019,6,25,"2019-06-25T15:08:00","2019-07-03T19:12:41.000+00:00","2021-09-07T23:48:58.900+00:00","https://www.inaturalist.org/observations/28128229","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE","none",NA,"Peru","Shannon DeVaney","28128229","scdevaney","Coordinate uncertainty increased to 31394m to protect threatened taxon","2019/06/25 3:08 PM PDT","iNaturalist research-grade observations","Requena, PE-LO, PE","Observations","2283138840","https://www.inaturalist.org/observations/28128229","43419","Shannon DeVaney","28128229","https://www.inaturalist.org/observations/28128229","iNaturalist","© Shannon DeVaney some rights reserved","22:08:00Z","Diego Balbuena","61242335","Aotus nancymaae Hershkovitz, 1983","ORCID","https://orcid.org/0000-0002-4497-9244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nancymaae","2980809192","Aotus nancymaae Hershkovitz, 1983",-6.359192,-76.384279,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:32:21.122+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219589,1,44,359,798,3239574,2436667,5219589,5219589,"Aotus nancymaae Hershkovitz, 1983","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nancymaae","Aotus","nancymaae","SPECIES","ACCEPTED","VU","2020-11-05T04:29:24",31356,"San Martín",2019,7,5,"2019-07-05T20:54:00","2020-11-05T20:41:51.000+00:00","2021-09-07T23:32:21.122+00:00","https://www.inaturalist.org/observations/64220379","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE","none","none","Peru","David F. Belmonte","64220379","davidfbelmonte","Coordinate uncertainty increased to 31356m to protect threatened taxon","2019/07/05 8:54 PM -0500","iNaturalist research-grade observations","San Martín, PE","Observations","2980809192","https://www.inaturalist.org/observations/64220379","43419","David F. Belmonte","64220379","https://www.inaturalist.org/observations/64220379","iNaturalist","© David F. Belmonte some rights reserved","01:54:00Z","David F. Belmonte","140189040","Aotus nancymaae Hershkovitz, 1983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nancymaae","2397638551","Aotus nancymaae Hershkovitz, 1983",-5.338459,-75.450049,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:45:28.800+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219589,1,44,359,798,3239574,2436667,5219589,5219589,"Aotus nancymaae Hershkovitz, 1983","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nancymaae","Aotus","nancymaae","SPECIES","ACCEPTED","VU","2019-08-31T06:17:22",114898,"Loreto",2019,8,26,"2019-08-26T14:29:00","2019-08-31T13:52:26.000+00:00","2021-09-07T23:45:28.800+00:00","https://www.inaturalist.org/observations/31821980","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE","none",NA,"Peru","Raphael Mazor","31821980","rdm24","Coordinate uncertainty increased to 114898m to protect threatened taxon","2019/08/26 2:29 PM PDT","iNaturalist research-grade observations","Loreto, PE","Observations","2397638551","https://www.inaturalist.org/observations/31821980","43419","Raphael Mazor","31821980","https://www.inaturalist.org/observations/31821980","iNaturalist","© Raphael Mazor some rights reserved","21:29:00Z","Diego Balbuena","69005571","Aotus nancymaae Hershkovitz, 1983","ORCID","https://orcid.org/0000-0002-4497-9244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nancymaae","2006031536","Aotus nancymaae Hershkovitz, 1983",-4.311707,-73.375434,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:19:31.097+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219589,1,44,359,798,3239574,2436667,5219589,5219589,"Aotus nancymaae Hershkovitz, 1983","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nancymaae","Aotus","nancymaae","SPECIES","ACCEPTED","VU","2018-10-12T04:36:59",31407,"Loreto",2018,8,7,"2018-08-07T21:44:00","2020-03-04T14:55:02.000+00:00","2021-09-08T00:19:31.097+00:00","https://www.inaturalist.org/observations/15702194","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE","none","none","Peru","leed0017","15702194","leed0017","Coordinate uncertainty increased to 31407m to protect threatened taxon","2018/08/07 9:44 PM MDT","iNaturalist research-grade observations","Maynas, PE-LO, PE","Observations","2006031536","https://www.inaturalist.org/observations/15702194","43419","leed0017","15702194","https://www.inaturalist.org/observations/15702194","iNaturalist","© leed0017 some rights reserved","03:44:00Z","Jane Widness","37341106","Aotus nancymaae Hershkovitz, 1983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nancymaae","2423120094","Aotus nancymaae Hershkovitz, 1983",-4.371206,-74.353941,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:03:21.882+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219589,1,44,359,798,3239574,2436667,5219589,5219589,"Aotus nancymaae Hershkovitz, 1983","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nancymaae","Aotus","nancymaae","SPECIES","ACCEPTED","VU","2019-09-17T20:23:23",89593,"Loreto",2017,3,17,"2017-03-17T11:12:00","2019-09-19T22:42:28.000+00:00","2021-09-08T00:03:21.882+00:00","https://www.inaturalist.org/observations/32910581","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE","none",NA,"Peru","Tresa Moulton","32910581","tresa","Coordinate uncertainty increased to 89593m to protect threatened taxon","2017/03/17 11:12 AM MDT","iNaturalist research-grade observations","Loreto, PE-LO, PE","Observations","2423120094","https://www.inaturalist.org/observations/32910581","43419","Tresa Moulton","32910581","https://www.inaturalist.org/observations/32910581","iNaturalist","© Tresa Moulton some rights reserved","17:12:00Z","Diego Balbuena","71281501","Aotus nancymaae Hershkovitz, 1983","ORCID","https://orcid.org/0000-0002-4497-9244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nancymaae","2963767673","Aotus nancymaae Hershkovitz, 1983",-4.50258,-73.741238,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:32:52.067+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219589,1,44,359,798,3239574,2436667,5219589,5219589,"Aotus nancymaae Hershkovitz, 1983","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nancymaae","Aotus","nancymaae","SPECIES","ACCEPTED","VU","2020-10-24T05:06:15",31403,"Loreto",2017,4,17,"2017-04-17T11:34:00","2020-10-26T23:37:26.000+00:00","2021-09-07T23:32:52.067+00:00","https://www.inaturalist.org/observations/63369180","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE","none","none","Peru","gillbsydney","63369180","gillbsydney","Coordinate uncertainty increased to 31403m to protect threatened taxon","2017/04/17 11:34 AM AEST","iNaturalist research-grade observations","Loreto, PE-LO, PE","Observations","2963767673","https://www.inaturalist.org/observations/63369180","43419","gillbsydney","63369180","https://www.inaturalist.org/observations/63369180","iNaturalist","© gillbsydney some rights reserved","01:34:00Z","gillbsydney","138177733","Aotus nancymaae Hershkovitz, 1983",NA,NA,"Night Monkey, Nauta Cano River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nancymaae","1945475607","Aotus nancymaae Hershkovitz, 1983",-4.613163,-73.427947,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:29:24.154+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219589,1,44,359,798,3239574,2436667,5219589,5219589,"Aotus nancymaae Hershkovitz, 1983","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nancymaae","Aotus","nancymaae","SPECIES","ACCEPTED","VU","2017-08-09T00:18:52",31398,"Loreto",2017,8,5,"2017-08-05T03:16:39","2020-05-26T01:23:24.000+00:00","2021-09-07T23:29:24.154+00:00","https://www.inaturalist.org/observations/7413757","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE","none","none","Peru","bryncel","7413757","bryncel","Coordinate uncertainty increased to 31398m to protect threatened taxon","Sat Aug 05 2017 03:16:39 GMT-0500 (GMT-5)","iNaturalist research-grade observations","Loreto, PE","Observations","1945475607","https://www.inaturalist.org/observations/7413757","43419","bryncel","7413757","https://www.inaturalist.org/observations/7413757","iNaturalist","© bryncel some rights reserved","08:16:39Z","bryncel","15452891","Aotus nancymaae Hershkovitz, 1983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nancymaae","2988527302","Aotus nancymaae Hershkovitz, 1983",-5.15428,-73.814922,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:28:31.836+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219589,1,44,359,798,3239574,2436667,5219589,5219589,"Aotus nancymaae Hershkovitz, 1983","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nancymaae","Aotus","nancymaae","SPECIES","ACCEPTED","VU","2017-09-08T02:01:02",31389,"Loreto",2016,2,23,"2016-02-23T08:04:55","2020-11-22T21:14:42.000+00:00","2021-09-07T23:28:31.836+00:00","https://www.inaturalist.org/observations/3351234","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE","none","none","Peru","David J Barton","3351234","redabbott","Coordinate uncertainty increased to 31389m to protect threatened taxon","2016-02-23 08:04:55","iNaturalist research-grade observations","Requena, PE-LO, PE","Observations","2988527302","http://www.inaturalist.org/observations/3351234","43419","David J Barton","3351234","http://www.inaturalist.org/observations/3351234","iNaturalist","© David J Barton some rights reserved","16:04:55Z","max kirsch","16520314","Aotus nancymaae Hershkovitz, 1983",NA,NA,NA,"Wouldn't the location (south of the Marañón River) make these <i>A. nancymaae</i>?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nancymaae","2422934212","Aotus nancymaae Hershkovitz, 1983",-4.944536,-73.650994,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:31:10.359+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219589,1,44,359,798,3239574,2436667,5219589,5219589,"Aotus nancymaae Hershkovitz, 1983","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nancymaae","Aotus","nancymaae","SPECIES","ACCEPTED","VU","2019-09-06T15:31:44",31394,"Loreto",2015,2,19,"2015-02-19T09:26:00","2020-08-27T23:55:09.000+00:00","2021-09-07T23:31:10.359+00:00","https://www.inaturalist.org/observations/32218136","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE","none",NA,"Peru","Seig","32218136","seigmond","Coordinate uncertainty increased to 31394m to protect threatened taxon","2015/02/19 9:26 AM EST","iNaturalist research-grade observations","Requena, PE-LO, PE","Observations","2422934212","https://www.inaturalist.org/observations/32218136","43419","Seig","32218136","https://www.inaturalist.org/observations/32218136","iNaturalist","© Seig some rights reserved","14:26:00Z","Diego Balbuena","69835174","Aotus nancymaae Hershkovitz, 1983","ORCID","https://orcid.org/0000-0002-4497-9244","Nancy Ma’s Night Monkey Aotus nancymaae in the Upper Amazon in Peru during flood season.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nancymaae","2005323344","Aotus nancymaae Hershkovitz, 1983",-4.53682,-72.974657,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:29:35.213+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219589,1,44,359,798,3239574,2436667,5219589,5219589,"Aotus nancymaae Hershkovitz, 1983","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nancymaae","Aotus","nancymaae","SPECIES","ACCEPTED","VU","2019-02-12T20:09:16",31403,"Loreto",2015,11,9,"2015-11-09T00:00:00","2020-03-04T14:54:22.000+00:00","2021-09-07T23:29:35.213+00:00","https://www.inaturalist.org/observations/20303209","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE","none","none","Peru","forestlab","20303209","forestlab","Coordinate uncertainty increased to 31403m to protect threatened taxon","2015/11/09 8:14 PM UTC","iNaturalist research-grade observations","Loreto, PE","Observations","2005323344","https://www.inaturalist.org/observations/20303209","43419","forestlab","20303209","https://www.inaturalist.org/observations/20303209","iNaturalist","© forestlab some rights reserved",NA,"Jane Widness","45129263","Aotus nancymaae Hershkovitz, 1983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nancymaae","1316534854","Aotus nancymaae Hershkovitz, 1983",-5.208333,-75.468972,"cdround,colmano,inmafu","e307fa47-ae87-4fc9-a1a5-b1415adac8be","76513b28-548d-480a-8859-bd7f45f8724b","68845aab-a453-4816-b36d-a3ec8455deb0","CO","DWC_ARCHIVE","2021-03-03T20:14:42.603+00:00","2021-03-09T12:28:32.966+00:00",180,"c4f66525-4d36-4c18-82ac-98e088f54db4","HUMAN_OBSERVATION","PRESENT",5219589,1,44,359,798,3239574,2436667,5219589,5219589,"Aotus nancymaae Hershkovitz, 1983","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nancymaae","Aotus","nancymaae","SPECIES","ACCEPTED","VU",NA,NA,"Loreto",2015,NA,NA,"2015-01-01T00:00:00",NA,"2021-03-09T12:28:32.966+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE","none","none","Peru",NA,"NPC:NPC:NPC-Primates-PE-117",NA,NA,NA,NA,NA,"NPC","1316534854","NPC:NPC:NPC-Primates-PE-117",NA,"Nestor Allgas","NPC-Primates-PE-117",NA,"NPC",NA,NA,NA,NA,"Aotus nancymaae Hershkovitz, 1983",NA,NA,NA,NA,35,15,"SOUTH_AMERICA","0e2b2658-0918-46bd-a310-964ec808250b","NPC","Parinari","Loreto","Pacaya-Samiria","es","Evento","NPC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nancymaae","2898301886","Aotus nancymaae Hershkovitz, 1983",-4.30894,-73.3479,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:03:25.360+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219589,1,44,359,798,3239574,2436667,5219589,5219589,"Aotus nancymaae Hershkovitz, 1983","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nancymaae","Aotus","nancymaae","SPECIES","ACCEPTED","VU","2020-10-11T18:35:02",31407,"Loreto",2014,11,24,"2014-11-24T06:42:00","2020-10-11T18:54:12.000+00:00","2021-09-08T00:03:25.360+00:00","https://www.inaturalist.org/observations/62325600","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE","none","none","Peru","Karl Kroeker","62325600","kkrockytop","Coordinate uncertainty increased to 31407m to protect threatened taxon","2014/11/24 6:42 AM CST","iNaturalist research-grade observations","Maynas, PE-LO, PE","Observations","2898301886","https://www.inaturalist.org/observations/62325600","43419","Karl Kroeker","62325600","https://www.inaturalist.org/observations/62325600","iNaturalist","© Karl Kroeker some rights reserved","12:42:00Z","Karl Kroeker","135883417","Aotus nancymaae Hershkovitz, 1983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nancymaae","1500302915","Aotus nancymaae Hershkovitz, 1983",-4.120029,-73.322441,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:29:13.386+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219589,1,44,359,798,3239574,2436667,5219589,5219589,"Aotus nancymaae Hershkovitz, 1983","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nancymaae","Aotus","nancymaae","SPECIES","ACCEPTED","VU","2020-03-02T17:54:06",50000,"Loreto",2013,2,21,"2013-02-21T08:35:00","2021-04-22T20:45:07.000+00:00","2021-09-07T23:29:13.386+00:00","https://www.inaturalist.org/observations/5922196","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE","none","none","Peru","Peter Hollinger","5922196","peterhma","Coordinate uncertainty increased to 50000m to protect threatened taxon","2013/02/21 8:35 AM EST","iNaturalist research-grade observations","Maynas, PE-LO, PE","Observations","1500302915","https://www.inaturalist.org/observations/5922196","43419","Peter Hollinger","5922196","https://www.inaturalist.org/observations/5922196","iNaturalist","© Peter Hollinger some rights reserved","13:35:00Z","Jane Widness","89044589","Aotus nancymaae Hershkovitz, 1983",NA,NA,NA,"orange neck (vociferans is more whitish or buffy)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
