"species_search","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","identifiers","facts","relations","isInCluster","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","rightsHolder","identifier","http...unknown.org.nick","verbatimEventDate","datasetName","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","recordedBy","catalogNumber","http...unknown.org.occurrenceDetails","institutionCode","rights","eventTime","identifiedBy","identificationID","name","recordedByIDs.type","recordedByIDs.value","identifiedByIDs.type","identifiedByIDs.value","sex","lifeStage","identificationRemarks","occurrenceRemarks","individualCount","continent","vernacularName","locality","higherClassification","projectId","programmeAcronym","elevation","organismQuantity","organismQuantityType","eventID","http...rs.tdwg.org.dwc.terms.organismQuantity","habitat","institutionID","county","municipality","language","type","http...rs.tdwg.org.dwc.terms.organismQuantityType","verbatimElevation","verbatimSRS","verbatimCoordinateSystem","previousIdentifications","datasetID","samplingProtocol","elevationAccuracy","samplingEffort","eventRemarks","identificationReferences","recordNumber","nomenclaturalCode","georeferencedBy","locationID","waterBody","gadm","informationWithheld","infraspecificEpithet","verbatimDepth","endDayOfYear","georeferenceVerificationStatus","pointRadiusSpatialFit","footprintSRS","startDayOfYear","footprintSpatialFit","parentEventID","ownerInstitutionCode","preparations","otherCatalogNumbers","locationRemarks","sampleSizeUnit","sampleSizeValue","http...rs.tdwg.org.dwc.terms.sampleSizeValue","http...rs.tdwg.org.dwc.terms.sampleSizeUnit","footprintWKT","locationAccordingTo","fieldNotes","georeferenceSources","verbatimTaxonRank","organismID","download"
"Alouatta seniculus","3079632138","Alouatta seniculus (Linnaeus, 1766)",2.832277,-72.166198,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:20:42.495+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436648,1,44,359,798,3239607,2436647,2436648,2436648,"Alouatta seniculus (Linnaeus, 1766)","Animalia","Chordata","Primates","Atelidae","Alouatta","Alouatta seniculus","Alouatta","seniculus","SPECIES","ACCEPTED","LC","2021-01-16T01:50:42",1938,"Guaviare",2021,1,6,"2021-01-06T17:16:00","2021-01-16T08:24:28.000+00:00","2021-09-08T00:20:42.495+00:00","https://www.inaturalist.org/observations/67920064","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CO","none","none","Colombia","GERMAN LEONEL SARMIENTO CRUZ","67920064","germansarmientocruz","2021/01/06 5:16 PM -0500","iNaturalist research-grade observations","San José Del Guaviare, Guaviare, Colombia","Observations","3079632138","https://www.inaturalist.org/observations/67920064","566513","GERMAN LEONEL SARMIENTO CRUZ","67920064","https://www.inaturalist.org/observations/67920064","iNaturalist","© GERMAN LEONEL SARMIENTO CRUZ some rights reserved","22:16:00Z","María Camila Valdés-Cardona","150711927","Alouatta seniculus (Linnaeus, 1766)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Alouatta seniculus","3112344373","Alouatta seniculus (Linnaeus, 1766)",2.511407,-72.707328,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:04:19.221+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436648,1,44,359,798,3239607,2436647,2436648,2436648,"Alouatta seniculus (Linnaeus, 1766)","Animalia","Chordata","Primates","Atelidae","Alouatta","Alouatta seniculus","Alouatta","seniculus","SPECIES","ACCEPTED","LC","2021-01-08T00:35:52",212,"Guaviare",2021,1,2,"2021-01-02T19:24:00","2021-05-04T01:15:25.000+00:00","2021-09-08T00:04:19.221+00:00","https://www.inaturalist.org/observations/67729057","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CO","none","none","Colombia","Sebastian Serna Muñoz","67729057","sesernam","2021/01/02 7:24 PM -05","iNaturalist research-grade observations","San José Del Guaviare, Guaviare, Colombia","Observations","3112344373","https://www.inaturalist.org/observations/67729057","566513","Sebastian Serna Muñoz","67729057","https://www.inaturalist.org/observations/67729057","iNaturalist","© Sebastian Serna Muñoz some rights reserved","00:24:00Z","Sebastian Serna Muñoz","149564838","Alouatta seniculus (Linnaeus, 1766)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Alouatta seniculus","3044783883","Alouatta seniculus (Linnaeus, 1766)",4.748255,-75.604248,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:20:49.377+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436648,1,44,359,798,3239607,2436647,2436648,2436648,"Alouatta seniculus (Linnaeus, 1766)","Animalia","Chordata","Primates","Atelidae","Alouatta","Alouatta seniculus","Alouatta","seniculus","SPECIES","ACCEPTED","LC","2021-02-12T02:14:08",NA,"Risaralda",2021,2,11,"2021-02-11T10:52:00","2021-02-13T17:36:54.000+00:00","2021-09-08T00:20:49.377+00:00","https://www.inaturalist.org/observations/69438692","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CO","none","none","Colombia","Cristian Antonio Calderón López","69438692","cristianlopez","2021/02/11 10:52 AM HST","iNaturalist research-grade observations","Santa Rosa de Cabal, Risaralda, Colombia","Observations","3044783883","https://www.inaturalist.org/observations/69438692","566513","Cristian Antonio Calderón López","69438692","https://www.inaturalist.org/observations/69438692","iNaturalist","© Cristian Antonio Calderón López some rights reserved","20:52:00Z","Cristian Antonio Calderón López","154488275","Alouatta seniculus (Linnaeus, 1766)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Alouatta seniculus","3044800208","Alouatta seniculus (Linnaeus, 1766)",-0.471544,-76.459067,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:00:03.996+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436648,1,44,359,798,3239607,2436647,2436648,2436648,"Alouatta seniculus (Linnaeus, 1766)","Animalia","Chordata","Primates","Atelidae","Alouatta","Alouatta seniculus","Alouatta","seniculus","SPECIES","ACCEPTED","LC","2021-02-25T23:47:11",59,"Sucumbios",2021,2,20,"2021-02-20T17:34:47","2021-02-26T03:08:20.000+00:00","2021-09-08T00:00:03.996+00:00","https://www.inaturalist.org/observations/70163942","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","EC","none","none","Ecuador","Vanesa Cruz Jumbo","70163942","vkcruzjumbo","Sat Feb 20 2021 17:34:47 GMT-0500 (GMT-5)","iNaturalist research-grade observations","Shushufindi, Sucumbios, EC","Observations","3044800208","https://www.inaturalist.org/observations/70163942","566513","Vanesa Cruz Jumbo","70163942","https://www.inaturalist.org/observations/70163942","iNaturalist","© Vanesa Cruz Jumbo some rights reserved","22:34:47Z","rudygelis","156653583","Alouatta seniculus (Linnaeus, 1766)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Alouatta seniculus","3044935420","Alouatta seniculus (Linnaeus, 1766)",4.42211,-75.802854,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:52:58.784+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436648,1,44,359,798,3239607,2436647,2436648,2436648,"Alouatta seniculus (Linnaeus, 1766)","Animalia","Chordata","Primates","Atelidae","Alouatta","Alouatta seniculus","Alouatta","seniculus","SPECIES","ACCEPTED","LC","2021-02-17T14:55:31",122,"Quindío",2021,2,12,"2021-02-12T00:00:00","2021-02-17T16:13:24.000+00:00","2021-09-07T23:52:58.784+00:00","https://www.inaturalist.org/observations/69719864","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CO",NA,NA,"Colombia","Yemay Toro López","69719864","yemaytoro","2021/02/12","iNaturalist research-grade observations","El Alambrado, La Tebaida, Quindío, Colombia","Observations","3044935420","https://www.inaturalist.org/observations/69719864","566513","Yemay Toro López","69719864","https://www.inaturalist.org/observations/69719864","iNaturalist","© Yemay Toro López some rights reserved",NA,"Yemay Toro López","155330408","Alouatta seniculus (Linnaeus, 1766)","ORCID","https://orcid.org/0000-0001-9257-5925","ORCID","https://orcid.org/0000-0001-9257-5925",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Alouatta seniculus","3058894100","Alouatta seniculus (Linnaeus, 1766)",5.811658,-75.80153,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:20:33.597+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436648,1,44,359,798,3239607,2436647,2436648,2436648,"Alouatta seniculus (Linnaeus, 1766)","Animalia","Chordata","Primates","Atelidae","Alouatta","Alouatta seniculus","Alouatta","seniculus","SPECIES","ACCEPTED","LC","2021-03-07T00:15:03",NA,"Antioquia",2021,2,27,"2021-02-27T13:27:50","2021-03-07T09:57:50.000+00:00","2021-09-08T00:20:33.597+00:00","https://www.inaturalist.org/observations/70701511","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CO","none","none","Colombia","edwinmunera","70701511","edwinmunera","2021-02-27 1:27:50 PM GMT-05:00","iNaturalist research-grade observations","Jericó, Antioquia, Colombia","Observations","3058894100","https://www.inaturalist.org/observations/70701511","566513","edwinmunera","70701511","https://www.inaturalist.org/observations/70701511","iNaturalist","© edwinmunera some rights reserved","18:27:50Z","edwinmunera","158124031","Alouatta seniculus (Linnaeus, 1766)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Alouatta seniculus","3058907921","Alouatta seniculus (Linnaeus, 1766)",4.843859,-75.818724,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:50:37.636+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436648,1,44,359,798,3239607,2436647,2436648,2436648,"Alouatta seniculus (Linnaeus, 1766)","Animalia","Chordata","Primates","Atelidae","Alouatta","Alouatta seniculus","Alouatta","seniculus","SPECIES","ACCEPTED","LC","2021-03-06T09:02:04",37,"Risaralda",2021,2,21,"2021-02-21T13:51:00","2021-03-06T15:17:33.000+00:00","2021-09-07T23:50:37.636+00:00","https://www.inaturalist.org/observations/70655311","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CO","none","none","Colombia","David Monroy R","70655311","monroyfotografo","2021/02/21 1:51 PM -0500","iNaturalist research-grade observations","Bosque Reserva Cauquitá, Pereira, Risaralda, Colombia","Observations","3058907921","https://www.inaturalist.org/observations/70655311","566513","David Monroy R","70655311","https://www.inaturalist.org/observations/70655311","iNaturalist","© David Monroy R some rights reserved","18:51:00Z","David Monroy R","158009323","Alouatta seniculus (Linnaeus, 1766)",NA,NA,NA,NA,"MALE","Adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Alouatta seniculus","3067802655","Alouatta seniculus (Linnaeus, 1766)",11.263636,-73.826092,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:32:48.391+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436648,1,44,359,798,3239607,2436647,2436648,2436648,"Alouatta seniculus (Linnaeus, 1766)","Animalia","Chordata","Primates","Atelidae","Alouatta","Alouatta seniculus","Alouatta","seniculus","SPECIES","ACCEPTED","LC","2021-03-25T21:43:09",15,"Magdalena",2021,2,22,"2021-02-22T00:44:00","2021-03-25T21:45:34.000+00:00","2021-09-07T23:32:48.391+00:00","https://www.inaturalist.org/observations/72044595","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CO","none","none","Colombia","Fly High Bird Club","72044595","flyhighbirdclub","2021/02/22 12:44 AM -0500","iNaturalist research-grade observations","Santa Marta, Magdalena, Colombia","Observations","3067802655","https://www.inaturalist.org/observations/72044595","566513","Fly High Bird Club","72044595","https://www.inaturalist.org/observations/72044595","iNaturalist","© Fly High Bird Club some rights reserved","05:44:00Z","Fly High Bird Club","161434435","Alouatta seniculus (Linnaeus, 1766)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Alouatta seniculus","3058768140","Alouatta seniculus (Linnaeus, 1766)",4.843426,-75.818306,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:07:06.481+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436648,1,44,359,798,3239607,2436647,2436648,2436648,"Alouatta seniculus (Linnaeus, 1766)","Animalia","Chordata","Primates","Atelidae","Alouatta","Alouatta seniculus","Alouatta","seniculus","SPECIES","ACCEPTED","LC","2021-03-07T02:05:49",211,"Risaralda",2021,3,6,"2021-03-06T21:05:00","2021-03-23T17:14:31.000+00:00","2021-09-08T00:07:06.481+00:00","https://www.inaturalist.org/observations/70707996","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CO","none","none","Colombia","rnbosquecauquita","70707996","rnbosquecauquita","2021/03/06 9:05 PM -0500","iNaturalist research-grade observations","Pereira, Risaralda, Colombia","Observations","3058768140","https://www.inaturalist.org/observations/70707996","566513","rnbosquecauquita","70707996","https://www.inaturalist.org/observations/70707996","iNaturalist","© rnbosquecauquita some rights reserved","02:05:00Z","rnbosquecauquita","158140535","Alouatta seniculus (Linnaeus, 1766)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Alouatta seniculus","3059003648","Alouatta seniculus (Linnaeus, 1766)",11.306851,-73.920149,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:33:20.806+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436648,1,44,359,798,3239607,2436647,2436648,2436648,"Alouatta seniculus (Linnaeus, 1766)","Animalia","Chordata","Primates","Atelidae","Alouatta","Alouatta seniculus","Alouatta","seniculus","SPECIES","ACCEPTED","LC","2021-03-03T02:03:18",216,"Magdalena",2021,3,1,"2021-03-01T11:20:35","2021-03-03T20:17:52.000+00:00","2021-09-07T23:33:20.806+00:00","https://www.inaturalist.org/observations/70477911","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CO","none","none","Colombia","Laura Parra","70477911","lauralejandrapc","2021-03-01 11:20:35 AM GMT-05:00","iNaturalist research-grade observations","Colombia","Observations","3059003648","https://www.inaturalist.org/observations/70477911","566513","Laura Parra","70477911","https://www.inaturalist.org/observations/70477911","iNaturalist","© Laura Parra some rights reserved","16:20:35Z","Laura Parra","157499863","Alouatta seniculus (Linnaeus, 1766)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Alouatta seniculus","3067707682","Alouatta seniculus (Linnaeus, 1766)",10.353608,-75.428711,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:33:00.480+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436648,1,44,359,798,3239607,2436647,2436648,2436648,"Alouatta seniculus (Linnaeus, 1766)","Animalia","Chordata","Primates","Atelidae","Alouatta","Alouatta seniculus","Alouatta","seniculus","SPECIES","ACCEPTED","LC","2021-03-22T23:28:20",1,"Bolívar",2021,3,22,"2021-03-22T08:42:00","2021-03-23T08:37:06.000+00:00","2021-09-07T23:33:00.480+00:00","https://www.inaturalist.org/observations/71835887","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CO","none","none","Colombia","JuanFelipeRR","71835887","juanfelipe2r","2021/03/22 8:42 AM -0500","iNaturalist research-grade observations","Naranjas, Turbaco, Bolívar, Colombia","Observations","3067707682","https://www.inaturalist.org/observations/71835887","566513","JuanFelipeRR","71835887","https://www.inaturalist.org/observations/71835887","iNaturalist","© JuanFelipeRR some rights reserved","13:42:00Z","JuanFelipeRR","160934925","Alouatta seniculus (Linnaeus, 1766)",NA,NA,NA,NA,NA,"Juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Alouatta seniculus","3067999820","Alouatta seniculus (Linnaeus, 1766)",6.04076,-74.647075,"","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:33:11.814+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436648,1,44,359,798,3239607,2436647,2436648,2436648,"Alouatta seniculus (Linnaeus, 1766)","Animalia","Chordata","Primates","Atelidae","Alouatta","Alouatta seniculus","Alouatta","seniculus","SPECIES","ACCEPTED","LC","2021-03-24T13:15:13",NA,"Antioquia",2021,3,21,"2021-03-21T10:59:00","2021-03-24T14:07:23.000+00:00","2021-09-07T23:33:11.814+00:00","https://www.inaturalist.org/observations/71943300","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CO","none","none","Colombia","Santi MD","71943300","smejiadu","2021/03/21 10:59 AM -0500","iNaturalist research-grade observations","Puerto Nare, Antioquia, Colombia","Observations","3067999820","https://www.inaturalist.org/observations/71943300","566513","Santi MD","71943300","https://www.inaturalist.org/observations/71943300","iNaturalist","© Santi MD some rights reserved","15:59:00Z","Santi MD","161196665","Alouatta seniculus (Linnaeus, 1766)",NA,NA,NA,NA,NA,"Adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Alouatta seniculus","3068089534","Alouatta seniculus (Linnaeus, 1766)",11.012876,-74.856323,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:52:54.319+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436648,1,44,359,798,3239607,2436647,2436648,2436648,"Alouatta seniculus (Linnaeus, 1766)","Animalia","Chordata","Primates","Atelidae","Alouatta","Alouatta seniculus","Alouatta","seniculus","SPECIES","ACCEPTED","LC","2021-03-19T01:47:31",539,"Atlántico",2021,3,18,"2021-03-18T05:50:00","2021-03-19T07:51:58.000+00:00","2021-09-07T23:52:54.319+00:00","https://www.inaturalist.org/observations/71525246","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CO","none","none","Colombia","descaf85","71525246","descaf85","Thu Mar 18 2021 05:50:00 GMT-0500 (GMT-5)","iNaturalist research-grade observations","Puerto Colombia, Atlántico, CO","Observations","3068089534","https://www.inaturalist.org/observations/71525246","566513","descaf85","71525246","https://www.inaturalist.org/observations/71525246","iNaturalist","© descaf85 some rights reserved","09:50:00Z","descaf85","160214773","Alouatta seniculus (Linnaeus, 1766)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
