"species_search","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","identifiers","facts","relations","isInCluster","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","rightsHolder","identifier","http...unknown.org.nick","verbatimEventDate","datasetName","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","recordedBy","catalogNumber","http...unknown.org.occurrenceDetails","institutionCode","rights","eventTime","identifiedBy","identificationID","name","coordinateUncertaintyInMeters","lifeStage","occurrenceRemarks","informationWithheld","recordedByIDs.type","recordedByIDs.value","identifiedByIDs.type","identifiedByIDs.value","gadm","individualCount","continent","vernacularName","locality","higherClassification","samplingProtocol","infraspecificEpithet","sex","elevation","elevationAccuracy","organismQuantity","organismQuantityType","http...rs.tdwg.org.dwc.terms.organismQuantity","habitat","institutionID","samplingEffort","county","municipality","eventRemarks","language","type","http...rs.tdwg.org.dwc.terms.organismQuantityType","identificationRemarks","identificationReferences","recordNumber","nomenclaturalCode","georeferencedBy","verbatimCoordinateSystem","locationID","datasetID","waterBody","download"
"Cebus capucinus","3018089045","Cebus capucinus (Linnaeus, 1758)",8.439021,-83.445831,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:45:18.275+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436637,1,44,359,798,9621,2436635,2436637,2436637,"Cebus capucinus (Linnaeus, 1758)","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus capucinus","Cebus","capucinus","SPECIES","ACCEPTED","VU","2021-01-05T03:53:34","Puntarenas",2021,1,3,"2021-01-03T12:57:00","2021-01-06T08:13:10.000+00:00","2021-09-07T23:45:18.275+00:00","https://www.inaturalist.org/observations/67603201","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CR","none","none","Costa Rica","veroalpizar","67603201","veroalpizar","2021/01/03 12:57 PM UTC","iNaturalist research-grade observations","Golfito, Puntarenas, Costa Rica","Observations","3018089045","https://www.inaturalist.org/observations/67603201","43432","veroalpizar","67603201","https://www.inaturalist.org/observations/67603201","iNaturalist","© veroalpizar some rights reserved","12:57:00Z","veroalpizar","149177857","Cebus capucinus (Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Cebus capucinus","3018109805","Cebus capucinus (Linnaeus, 1758)",8.447762,-83.517504,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:06:57.519+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436637,1,44,359,798,9621,2436635,2436637,2436637,"Cebus capucinus (Linnaeus, 1758)","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus capucinus","Cebus","capucinus","SPECIES","ACCEPTED","VU","2021-01-03T02:07:16","Puntarenas",2021,1,2,"2021-01-02T13:25:48","2021-06-09T02:26:40.000+00:00","2021-09-08T00:06:57.519+00:00","https://www.inaturalist.org/observations/67487706","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CR","none","none","Costa Rica","Leo Arias","67487706","elopio","2021-01-02 1:25:48 PM CST","iNaturalist research-grade observations","Corcovado, CR-PU-GO, CR-PU, CR","Observations","3018109805","https://www.inaturalist.org/observations/67487706","43432","Leo Arias","67487706","https://www.inaturalist.org/observations/67487706","iNaturalist","By Leo Arias no rights reserved","19:25:48Z","ajaco005","148849813","Cebus capucinus (Linnaeus, 1758)",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Cebus capucinus","3018134017","Cebus capucinus (Linnaeus, 1758)",8.453069,-83.287415,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:57:00.332+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436637,1,44,359,798,9621,2436635,2436637,2436637,"Cebus capucinus (Linnaeus, 1758)","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus capucinus","Cebus","capucinus","SPECIES","ACCEPTED","VU","2021-01-05T03:53:06","Puntarenas",2021,1,3,"2021-01-03T09:43:00","2021-01-06T08:13:20.000+00:00","2021-09-07T23:57:00.332+00:00","https://www.inaturalist.org/observations/67603088","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CR","none","none","Costa Rica","veroalpizar","67603088","veroalpizar","2021/01/03 9:43 AM UTC","iNaturalist research-grade observations","Golfito, Puntarenas, Costa Rica","Observations","3018134017","https://www.inaturalist.org/observations/67603088","43432","veroalpizar","67603088","https://www.inaturalist.org/observations/67603088","iNaturalist","© veroalpizar some rights reserved","09:43:00Z","veroalpizar","149177716","Cebus capucinus (Linnaeus, 1758)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Cebus capucinus","3031705044","Cebus capucinus (Linnaeus, 1758)",8.975358,-83.462958,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:04:26.080+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436637,1,44,359,798,9621,2436635,2436637,2436637,"Cebus capucinus (Linnaeus, 1758)","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus capucinus","Cebus","capucinus","SPECIES","ACCEPTED","VU","2021-01-16T23:06:21","Puntarenas",2021,1,16,"2021-01-16T16:51:00","2021-01-24T09:59:24.000+00:00","2021-09-08T00:04:26.080+00:00","https://www.inaturalist.org/observations/68180259","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CR","none","none","Costa Rica","Fernando Guerrero Chavarría","68180259","fernandoguerrero","Sat Jan 16 2021 16:51:00 GMT-0600 (CST)","iNaturalist research-grade observations","Osa, Puntarenas, CR","Observations","3031705044","https://www.inaturalist.org/observations/68180259","43432","Fernando Guerrero Chavarría","68180259","https://www.inaturalist.org/observations/68180259","iNaturalist","© Fernando Guerrero Chavarría some rights reserved","22:51:00Z","Michele Chiacchio","150833856","Cebus capucinus (Linnaeus, 1758)",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Cebus capucinus","3031719851","Cebus capucinus (Linnaeus, 1758)",11.99203,-86.322682,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:01:36.919+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436637,1,44,359,798,9621,2436635,2436637,2436637,"Cebus capucinus (Linnaeus, 1758)","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus capucinus","Cebus","capucinus","SPECIES","ACCEPTED","VU","2021-01-16T02:54:45","Managua",2021,1,15,"2021-01-15T08:45:31","2021-01-17T14:38:56.000+00:00","2021-09-08T00:01:36.919+00:00","https://www.inaturalist.org/observations/68135002","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","NI","none","none","Nicaragua","Lester Fonseca","68135002","lester_fonseca","2021-01-15 8:45:31 AM CST","iNaturalist research-grade observations","Habitarte - Reserva El Bajo","Observations","3031719851","https://www.inaturalist.org/observations/68135002","43432","Lester Fonseca","68135002","https://www.inaturalist.org/observations/68135002","iNaturalist","© Lester Fonseca some rights reserved","08:45:31Z","Lester Fonseca","150719006","Cebus capucinus (Linnaeus, 1758)",349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Cebus capucinus","3031723559","Cebus capucinus (Linnaeus, 1758)",9.749364,-82.815424,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:33:26.008+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436637,1,44,359,798,9621,2436635,2436637,2436637,"Cebus capucinus (Linnaeus, 1758)","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus capucinus","Cebus","capucinus","SPECIES","ACCEPTED","VU","2021-01-11T21:53:47","Limón",2021,1,9,"2021-01-09T08:00:00","2021-01-11T22:52:21.000+00:00","2021-09-07T23:33:26.008+00:00","https://www.inaturalist.org/observations/67925375","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CR","none","none","Costa Rica","Roger Mesen Delgado","67925375","danta_cr","Sat Jan 09 2021 08:00:00 GMT-0600 (CST)","iNaturalist research-grade observations","Talamanca, Limón, CR","Observations","3031723559","https://www.inaturalist.org/observations/67925375","43432","Roger Mesen Delgado","67925375","https://www.inaturalist.org/observations/67925375","iNaturalist","© Roger Mesen Delgado some rights reserved","08:00:00Z","Roger Mesen Delgado","150136501","Cebus capucinus (Linnaeus, 1758)",102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Cebus capucinus","3031736874","Cebus capucinus (Linnaeus, 1758)",7.541944,-80.933227,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:55:48.277+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436637,1,44,359,798,9621,2436635,2436637,2436637,"Cebus capucinus (Linnaeus, 1758)","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus capucinus","Cebus","capucinus","SPECIES","ACCEPTED","VU","2021-01-15T04:45:37","Veraguas",2021,1,14,"2021-01-14T12:39:00","2021-02-12T12:57:57.000+00:00","2021-09-07T23:55:48.277+00:00","https://www.inaturalist.org/observations/68090259","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PA","none","none","Panama","Rodrigo Baez","68090259","rodrigobaez","2021/01/14 12:39 PM -0500","iNaturalist research-grade observations","Provincia de Veraguas, Panamá","Observations","3031736874","https://www.inaturalist.org/observations/68090259","43432","Rodrigo Baez","68090259","https://www.inaturalist.org/observations/68090259","iNaturalist","© Rodrigo Baez some rights reserved","17:39:00Z","Rodrigo Baez","150595903","Cebus capucinus (Linnaeus, 1758)",16,"Adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Cebus capucinus","3031745984","Cebus capucinus (Linnaeus, 1758)",10.398762,-85.324655,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:20:34.586+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436637,1,44,359,798,9621,2436635,2436637,2436637,"Cebus capucinus (Linnaeus, 1758)","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus capucinus","Cebus","capucinus","SPECIES","ACCEPTED","VU","2021-01-16T17:15:00","Guanacaste",2021,1,16,"2021-01-16T11:14:47","2021-01-24T10:00:39.000+00:00","2021-09-08T00:20:34.586+00:00","https://www.inaturalist.org/observations/68161162","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CR","none","none","Costa Rica","prisca06","68161162","prisca06","Sat Jan 16 2021 11:14:47 GMT-0600 (CST)","iNaturalist research-grade observations","Bagaces, Guanacaste, CR","Observations","3031745984","https://www.inaturalist.org/observations/68161162","43432","prisca06","68161162","https://www.inaturalist.org/observations/68161162","iNaturalist","© prisca06 some rights reserved","11:14:47Z","prisca06","150788678","Cebus capucinus (Linnaeus, 1758)",3293,NA,"10 adultos 3 juveniles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Cebus capucinus","3031778056","Cebus capucinus (Linnaeus, 1758)",10.345112,-85.33828,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:59:59.526+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436637,1,44,359,798,9621,2436635,2436637,2436637,"Cebus capucinus (Linnaeus, 1758)","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus capucinus","Cebus","capucinus","SPECIES","ACCEPTED","VU","2021-01-17T02:22:32","Guanacaste",2021,1,16,"2021-01-16T15:42:24","2021-01-18T01:17:16.000+00:00","2021-09-07T23:59:59.526+00:00","https://www.inaturalist.org/observations/68190439","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CR","none","none","Costa Rica","Pablo Huertas","68190439","pabru","Sat Jan 16 2021 15:42:24 GMT-0600 (CST)","iNaturalist research-grade observations","Parque Nacional Palo Verde, Bagaces, Guanacaste, CR","Observations","3031778056","https://www.inaturalist.org/observations/68190439","43432","Pablo Huertas","68190439","https://www.inaturalist.org/observations/68190439","iNaturalist","© Pablo Huertas some rights reserved","21:42:24Z","Pablo Huertas","150858222","Cebus capucinus (Linnaeus, 1758)",4,NA,"Tropa de 12 individuos saludables. Tres machos, seis hembras, dos juveniles, un infante cargado por la hembra. Borde de bosque secundario, justo en las instalaciones de la OET.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Cebus capucinus","3031856270","Cebus capucinus (Linnaeus, 1758)",10.45471,-84.728888,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:04:55.970+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436637,1,44,359,798,9621,2436635,2436637,2436637,"Cebus capucinus (Linnaeus, 1758)","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus capucinus","Cebus","capucinus","SPECIES","ACCEPTED","VU","2021-01-08T02:08:07","Alajuela",2021,1,7,"2021-01-07T11:18:57","2021-01-08T08:26:42.000+00:00","2021-09-08T00:04:55.970+00:00","https://www.inaturalist.org/observations/67732333","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CR","none","none","Costa Rica","Prash","67732333","pmak","2021-01-07 11:18:57 AM CST","iNaturalist research-grade observations","La Fortuna, Provincia de Alajuela, San Carlos, Costa Rica","Observations","3031856270","https://www.inaturalist.org/observations/67732333","43432","Prash","67732333","https://www.inaturalist.org/observations/67732333","iNaturalist","© Prash some rights reserved","11:18:57Z","Prash","149573198","Cebus capucinus (Linnaeus, 1758)",2287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Cebus capucinus","3031905976","Cebus capucinus (Linnaeus, 1758)",9.261,-83.872,"","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:01:14.642+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436637,1,44,359,798,9621,2436635,2436637,2436637,"Cebus capucinus (Linnaeus, 1758)","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus capucinus","Cebus","capucinus","SPECIES","ACCEPTED","VU","2021-01-27T20:14:59","Puntarenas",2021,1,15,"2021-01-15T07:32:00","2021-01-27T20:40:06.000+00:00","2021-09-08T00:01:14.642+00:00","https://www.inaturalist.org/observations/68695269","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CR","none","none","Costa Rica","hellen","68695269","hellen","2021/01/15 7:32 AM CST","iNaturalist research-grade observations","Provincia de Puntarenas, Savegre, Costa Rica","Observations","3031905976","https://www.inaturalist.org/observations/68695269","43432","hellen","68695269","https://www.inaturalist.org/observations/68695269","iNaturalist","© hellen some rights reserved","13:32:00Z","hellen","152358171","Cebus capucinus (Linnaeus, 1758)",20,NA,"5 individuos forrajeando",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Cebus capucinus","3031928348","Cebus capucinus (Linnaeus, 1758)",10.34796,-85.17659,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:32:40.998+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436637,1,44,359,798,9621,2436635,2436637,2436637,"Cebus capucinus (Linnaeus, 1758)","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus capucinus","Cebus","capucinus","SPECIES","ACCEPTED","VU","2021-01-19T22:46:21","Guanacaste",2021,1,19,"2021-01-19T22:42:00","2021-01-19T23:29:55.000+00:00","2021-09-07T23:32:40.998+00:00","https://www.inaturalist.org/observations/68344210","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CR","none","none","Costa Rica","María del Rocío Fernández Rojas","68344210","rociofernandezrojas","2021/01/19 10:42 PM UTC","iNaturalist research-grade observations","Unnamed Road, Provincia de Guanacaste, Costa Rica","Observations","3031928348","https://www.inaturalist.org/observations/68344210","43432","María del Rocío Fernández Rojas","68344210","https://www.inaturalist.org/observations/68344210","iNaturalist","© María del Rocío Fernández Rojas some rights reserved","22:42:00Z","María del Rocío Fernández Rojas","151290624","Cebus capucinus (Linnaeus, 1758)",NA,NA,"2 monos cara blanca adultos van de paso entre los árboles. Reportado por Dayana Jimenez, Taboga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Cebus capucinus","3031975867","Cebus capucinus (Linnaeus, 1758)",9.787367,-84.924749,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:21:02.722+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436637,1,44,359,798,9621,2436635,2436637,2436637,"Cebus capucinus (Linnaeus, 1758)","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus capucinus","Cebus","capucinus","SPECIES","ACCEPTED","VU","2021-01-16T00:52:50","Puntarenas",2021,1,15,"2021-01-15T18:28:15","2021-01-16T08:11:17.000+00:00","2021-09-08T00:21:02.722+00:00","https://www.inaturalist.org/observations/68129602","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CR","none","none","Costa Rica","rsp1206","68129602","rsp1206","Fri Jan 15 2021 18:28:15 GMT-0600 (CST)","iNaturalist research-grade observations","Puntarenas, CR","Observations","3031975867","https://www.inaturalist.org/observations/68129602","43432","rsp1206","68129602","https://www.inaturalist.org/observations/68129602","iNaturalist","© rsp1206 some rights reserved","18:28:15Z","rsp1206","150706099","Cebus capucinus (Linnaeus, 1758)",23,NA,"12 carablanca machos 4, 5 hembras 1 juvenil , 2 crías",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Cebus capucinus","3031979034","Cebus capucinus (Linnaeus, 1758)",10.719795,-85.410471,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:00:28.466+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436637,1,44,359,798,9621,2436635,2436637,2436637,"Cebus capucinus (Linnaeus, 1758)","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus capucinus","Cebus","capucinus","SPECIES","ACCEPTED","VU","2021-01-17T16:28:48","Guanacaste",2021,1,16,"2021-01-16T16:24:00","2021-01-18T01:13:16.000+00:00","2021-09-08T00:00:28.466+00:00","https://www.inaturalist.org/observations/68218704","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CR","none","none","Costa Rica","Gina M","68218704","gmalavas","2021/01/16 4:24 PM UTC","iNaturalist research-grade observations","Guanacaste Province, Curubandé de Liberia, Costa Rica","Observations","3031979034","https://www.inaturalist.org/observations/68218704","43432","Gina M","68218704","https://www.inaturalist.org/observations/68218704","iNaturalist","© Gina M some rights reserved","16:24:00Z","Gina M","150937520","Cebus capucinus (Linnaeus, 1758)",1236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Cebus capucinus","3031992927","Cebus capucinus (Linnaeus, 1758)",8.435245,-83.096296,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:55:00.835+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436637,1,44,359,798,9621,2436635,2436637,2436637,"Cebus capucinus (Linnaeus, 1758)","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus capucinus","Cebus","capucinus","SPECIES","ACCEPTED","VU","2021-01-27T21:33:43","Puntarenas",2021,1,23,"2021-01-23T17:16:00","2021-01-29T05:04:12.000+00:00","2021-09-07T23:55:00.835+00:00","https://www.inaturalist.org/observations/68698166","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CR","none","none","Costa Rica","hellen","68698166","hellen","2021/01/23 5:16 PM CST","iNaturalist research-grade observations","Provincia de Puntarenas, Costa Rica","Observations","3031992927","https://www.inaturalist.org/observations/68698166","43432","hellen","68698166","https://www.inaturalist.org/observations/68698166","iNaturalist","© hellen some rights reserved","23:16:00Z","hellen","152367782","Cebus capucinus (Linnaeus, 1758)",19,NA,"Alrededor de 25 individuos incluyendo al menos 2 crías, iban de paso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
